query,scanned,optimal
0,12207,12207
1,5861,5861
2,12207,12207
3,12207,12207
4,12207,12207
5,12207,12207
6,12207,12207
7,5861,5861
8,12207,12207
9,12207,12207
10,12207,12193
11,12207,12193
12,12207,12135
13,12207,12135
14,12207,12135
15,12207,12207
16,12207,12207
17,12207,12207
18,12207,12207
19,2749,1
20,12207,3175
21,12207,587
22,12207,2778
23,12207,375
24,12207,297
25,86,86
26,344,337
27,12207,12207
28,12207,12200
29,12207,12207
30,12207,12135
31,12207,12135
32,12207,12207
33,12207,12207
34,12207,12207
35,12207,12207
36,92,92
37,92,92
38,92,92
39,92,92
40,92,92
41,92,92
42,92,92
