Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Ingestion,s,call_center,0.02943,0.03417,0.02691,0.02952,0.02641,0.02119,0.01695
Ingestion,s,catalog_page,0.12731,0.09832,0.099,0.0712,0.06832,0.05802,0.0637
Ingestion,s,catalog_returns,17.80829,44.48086,19.39718,19.13338,45.43451,17.86818,18.27355
Ingestion,s,catalog_sales,205.35577,474.92197,224.99026,227.73709,515.87146,232.89903,217.74297
Ingestion,s,customer,7.95264,11.66076,8.82163,12.08566,12.53494,9.87785,7.12508
Ingestion,s,customer_address,4.7652,6.47728,5.3048,5.88869,6.80688,5.62452,4.66226
Ingestion,s,customer_demographics,3.30593,4.09435,3.50592,3.6813,4.26488,3.59089,3.41549
Ingestion,s,date_dim,2.28897,2.43552,2.28143,2.64032,2.49312,2.34824,2.33152
Ingestion,s,household_demographics,0.01314,0.01061,0.01087,0.01062,0.01115,0.00977,0.01799
Ingestion,s,income_band,0.00377,0.00254,0.00254,0.00234,0.00278,0.00255,0.01058
Ingestion,s,inventory,60.18171,115.56357,68.1237,83.25267,116.74628,77.12322,82.94861
Ingestion,s,item,3.70442,4.31711,3.93348,4.06432,4.74226,4.36372,4.01921
Ingestion,s,promotion,0.00808,0.00899,0.008,0.02143,0.01031,0.00886,0.00961
Ingestion,s,reason,0.00244,0.00256,0.00267,0.01208,0.00258,0.00258,0.00326
Ingestion,s,ship_mode,0.00239,0.00251,0.00254,0.01176,0.00265,0.00302,0.00251
Ingestion,s,store,0.00665,0.00749,0.00685,0.01463,0.0069,0.00723,0.00719
Ingestion,s,store_returns,26.22041,71.45688,29.62476,32.51895,75.29745,31.63749,35.19282
Ingestion,s,store_sales,276.69595,642.83093,289.62158,285.5038,653.7721,290.0914,308.42007
Ingestion,s,time_dim,0.15811,0.19614,0.1683,0.14257,0.21002,0.1866,0.15604
Ingestion,s,warehouse,0.01157,0.01164,0.01221,0.00541,0.01478,0.0056,0.01064
Ingestion,s,web_page,0.05185,0.05153,0.05336,0.05615,0.08127,0.09297,0.04926
Ingestion,s,web_returns,13.12706,25.62969,13.91324,13.97067,26.80086,17.48045,14.5742
Ingestion,s,web_sales,93.7013,232.55013,100.25046,97.61221,239.28477,119.38902,101.71647
Ingestion,s,web_site,0.01453,0.00575,0.01421,0.00704,0.00606,0.03842,0.0147
