Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,3762,3762,3762,3762,3762,3762,3762
Partitions scanned,,2,26369,26369,26369,26369,26369,26369,26369
Partitions scanned,,3,35190,35190,35190,35190,35190,35190,35190
Partitions scanned,,4,51186,51186,51186,51186,51186,51186,51186
Partitions scanned,,5,48758,48758,48758,48758,48758,48758,48758
Partitions scanned,,6,35550,35550,35550,35550,35550,35550,35550
Partitions scanned,,7,35418,35418,35418,35418,35418,35418,35418
Partitions scanned,,8,35526,35526,35526,35526,35526,35526,35526
Partitions scanned,,9,35157,35157,35157,35157,35157,35157,35157
Partitions scanned,,10,45213,45213,45213,45213,45213,45213,45213
Partitions scanned,,11,44192,44192,44192,44192,44192,44192,44192
Partitions scanned,,12,8816,8816,8816,8816,8816,8816,8816
Partitions scanned,,13,35517,35517,35517,35517,35517,35517,35517
Partitions scanned,,14,54482,54482,54482,54482,54482,54482,54482
Partitions scanned,,15,877,877,877,877,877,877,877
Partitions scanned,,16,1918,1918,1918,1918,1918,1918,1918
Partitions scanned,,17,40652,40652,40652,40652,40652,40652,40652
Partitions scanned,,18,4126,4126,4126,4126,4126,4126,4126
Partitions scanned,,19,35551,35551,35551,35551,35551,35551,35551
Partitions scanned,,20,194,194,194,194,194,194,194
Partitions scanned,,21,1709,1709,1709,1709,1709,1709,1709
Partitions scanned,,22,9739,9739,9739,9739,9739,9739,9739
Partitions scanned,,23,44379,44379,44379,44379,44379,44379,44379
Partitions scanned,,24,39065,39065,39065,39065,39065,39065,39065
Partitions scanned,,25,40523,40523,40523,40523,40523,40523,40523
Partitions scanned,,26,3779,3779,3779,3779,3779,3779,3779
Partitions scanned,,27,35418,35418,35418,35418,35418,35418,35418
Partitions scanned,,28,35156,35156,35156,35156,35156,35156,35156
Partitions scanned,,29,49208,49208,49208,49208,49208,49208,49208
Partitions scanned,,30,1248,1248,1248,1248,1248,1248,1248
Partitions scanned,,31,44070,44070,44070,44070,44070,44070,44070
Partitions scanned,,32,532,528,528,532,528,528,532
Partitions scanned,,33,44268,44268,44268,44268,44268,44268,44268
Partitions scanned,,34,35404,35404,35404,35404,35404,35404,35404
Partitions scanned,,35,46503,46503,46503,46503,46503,46503,46503
Partitions scanned,,36,35183,35183,35183,35183,35183,35183,35183
Partitions scanned,,37,18527,18527,18527,18527,18527,18527,18527
Partitions scanned,,38,47709,47709,47709,47709,47709,47709,47709
Partitions scanned,,39,1522,1522,1522,1522,1522,1522,1522
Partitions scanned,,40,2125,2125,2125,2125,2125,2125,2125
Partitions scanned,,41,25,25,25,25,25,25,25
Partitions scanned,,42,35182,35182,35182,35182,35182,35182,35182
Partitions scanned,,43,35158,35158,35158,35158,35158,35158,35158
Partitions scanned,,44,35167,33971,33971,35167,33971,33971,33971
Partitions scanned,,45,9184,9184,9184,9184,9184,9184,9184
Partitions scanned,,46,35527,35527,35527,35527,35527,35527,35527
Partitions scanned,,47,35183,35183,35183,35183,35183,35183,35183
Partitions scanned,,48,35516,35516,35516,35516,35516,35516,35516
Partitions scanned,,49,48998,48998,48998,48998,48998,48998,48998
Partitions scanned,,50,38673,38673,38673,38673,38673,38673,38673
Partitions scanned,,51,43947,43947,43947,43947,43947,43947,43947
Partitions scanned,,52,35182,35182,35182,35182,35182,35182,35182
