Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,59.99,59.99,59.99
2,18.64,18.69,18.68
3,78.49,78.12,78.07
4,15.13,15.14,15.14
5,21.78,22.13,22.0
6,72.64,74.7,75.17
7,95.65,114.38,114.51
8,78.9,78.93,78.91
9,35.51,35.52,35.51
10,75.04,75.04,75.04
11,16.2,16.2,16.2
12,108.08,104.14,105.79
13,15.0,15.0,15.0
14,59.99,59.99,59.99
15,60.02,60.02,60.02
16,4.22,4.21,4.2
17,122.05,122.05,122.04
18,0.22,0.24,0.22
19,59.99,59.99,59.99
20,121.45,116.68,113.45
21,75.47,75.53,75.49
22,12.67,12.47,12.43
