Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,59.99,59.99,59.99
2,18.62,18.67,18.65
3,77.55,77.76,77.72
4,15.13,15.14,15.14
5,17.95,20.25,20.28
6,71.71,73.0,72.99
7,92.63,103.04,103.52
8,78.85,78.85,78.85
9,35.51,35.52,35.51
10,75.04,75.04,75.04
11,16.2,16.2,16.2
12,78.93,96.57,94.99
13,15.0,15.0,15.0
14,59.99,59.99,59.99
15,60.02,60.02,60.02
16,4.21,4.21,4.2
17,122.05,122.04,122.04
18,0.22,0.24,0.22
19,59.99,59.99,59.99
20,73.39,96.46,95.27
21,75.44,75.48,75.45
22,11.87,12.3,12.22
