Query,min_max_rows_scanned,cluster_rows_scanned,bloom_rows_scanned
1,59.99,59.99,59.99
2,18.62,18.68,18.66
3,77.88,77.88,77.88
4,15.13,15.14,15.14
5,18.23,21.14,21.06
6,71.95,73.65,73.7
7,92.95,108.97,109.27
8,78.86,78.9,78.88
9,35.51,35.52,35.51
10,75.04,75.04,75.04
11,16.2,16.2,16.2
12,98.03,100.51,100.51
13,15.0,15.0,15.0
14,59.99,59.99,59.99
15,60.02,60.02,60.02
16,4.22,4.21,4.2
17,122.05,122.04,122.04
18,0.22,0.24,0.22
19,59.99,59.99,59.99
20,76.1,104.39,104.34
21,75.45,75.49,75.46
22,12.24,12.36,12.29
