query,scanned,optimal
0,3762,3762
1,26369,26369
2,35190,35190
3,51186,51186
4,48758,48733
5,35550,35525
6,35418,35418
7,35526,35526
8,35157,35157
9,45213,45213
10,44192,44192
11,8816,8799
12,35517,35517
13,54482,54482
14,877,877
15,1918,1918
16,40652,40652
17,4126,4126
18,35551,35551
19,194,194
20,1709,1709
21,9739,9739
22,44379,44362
23,39065,39065
24,40523,40475
25,3779,3779
26,35418,35418
27,35156,35156
28,49208,49208
29,1248,1248
30,44070,44070
31,532,528
32,44268,44211
33,35404,35404
34,46503,46503
35,35183,35183
36,18527,18519
37,47709,47709
38,1522,1522
39,2125,2125
40,25,25
41,35182,35182
42,35158,35158
43,35167,33971
44,9184,9184
45,35527,35527
46,35183,35183
47,35516,35516
48,48998,48998
49,38673,38673
50,43947,43947
51,35182,35182
52,35183,35183
53,44937,44937
54,35182,35182
55,44252,44179
56,4291,4291
57,44067,43756
58,35158,35158
59,44475,44475
60,35552,35552
61,8794,8794
62,35183,35183
63,58637,58637
64,35183,35183
65,12296,12296
66,35183,35183
67,35527,35527
68,45057,45057
69,35158,35158
70,44547,44547
71,15419,15419
72,35403,35403
73,44192,44192
74,56061,56061
75,61550,58356
76,48978,48978
77,53616,53616
78,35404,35404
79,50523,50523
80,1006,1006
81,36806,36774
82,4835,4835
83,4120,4120
84,10030,10030
85,8816,8816
86,47709,47709
87,35161,35161
88,35183,35183
89,8796,8796
90,864,864
91,8816,8816
92,38672,38672
93,9794,9794
94,9794,9794
95,35160,35157
96,38674,38674
97,35182,35128
98,5013,5013
