Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,92123,76504,61059,92123,61059,61059,61059,61059,61059,61059
Partitions scanned,,2,122071,88349,61360,122071,61360,61360,61360,61360,61360,61360
Partitions scanned,,3,122071,77816,60839,122071,60839,60839,60839,60839,60839,60839
Partitions scanned,,4,122071,90214,91902,122071,61404,61404,61404,61404,61404,61404
Partitions scanned,,5,122071,78298,61287,122071,61287,61287,61287,61287,61287,61287
Partitions scanned,,6,122071,87928,91646,122071,61066,61066,61066,61066,61066,61066
Partitions scanned,,7,122070,77333,61094,122070,61094,61094,61094,61094,61094,61094
Partitions scanned,,8,122070,77333,61094,122070,61094,61094,61094,61094,61094,61094
Partitions scanned,,9,120537,76869,61541,120537,61541,61541,61541,61541,61541,61541
Partitions scanned,,10,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,11,122006,76845,60761,122006,60761,60761,60761,60761,60761,60761
Partitions scanned,,12,122071,84678,92053,122071,61200,61200,61200,61200,61200,61200
Partitions scanned,,13,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
Partitions scanned,,14,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,15,122071,82715,61092,122071,61092,61092,61092,61092,61092,61092
Partitions scanned,,16,122047,91287,61226,122047,61226,61226,61226,61226,61226,61226
Partitions scanned,,17,122071,82218,61145,122071,61145,61145,61145,61145,61145,61145
Partitions scanned,,18,121308,91330,61037,121308,61037,61037,61037,61037,61037,61037
Partitions scanned,,19,122071,90770,91745,122071,61209,61209,61209,61209,61209,61209
Partitions scanned,,20,122071,78687,61007,122071,61007,61007,61007,61007,61007,61007
Partitions scanned,,21,122071,80431,61115,122071,61115,61115,61115,61115,61115,61115
Partitions scanned,,22,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,23,122071,89230,60989,122071,60989,60989,60989,60989,60989,60989
Partitions scanned,,24,118696,91547,60914,118696,60914,60914,60914,60914,60914,60914
Partitions scanned,,25,122071,85842,60953,122071,60953,60953,60953,60953,60953,60953
Partitions scanned,,26,115074,91842,60926,115074,60926,60926,60926,60926,60926,60926
Partitions scanned,,27,122071,88646,91902,122071,60668,60668,60668,60668,60668,60668
Partitions scanned,,28,122039,76798,61006,122039,61006,61006,61006,61006,61006,61006
Partitions scanned,,29,122071,90197,61375,122071,61375,61375,61375,61375,61375,61375
Partitions scanned,,30,121353,76986,61096,121353,61096,61096,61096,61096,61096,61096
Partitions scanned,,31,122071,79692,61271,122071,61271,61271,61271,61271,61271,61271
Partitions scanned,,32,122071,80718,60936,122071,60936,60936,60936,60936,60936,60936
Partitions scanned,,33,122071,87407,61058,122071,61058,61058,61058,61058,61058,61058
Partitions scanned,,34,61497,61497,61497,61497,61497,61497,61497,61497,61497,61497
Partitions scanned,,35,122071,77741,60960,122071,60960,60960,60960,60960,60960,60960
Partitions scanned,,36,122071,88330,60815,122071,60815,60815,60815,60815,60815,60815
Partitions scanned,,37,122071,82779,91745,122071,60921,60921,60921,60921,60921,60921
Partitions scanned,,38,122067,77295,61071,122067,61071,61071,61071,61071,61071,61071
Partitions scanned,,39,122071,78933,61026,122071,61026,61026,61026,61026,61026,61026
Partitions scanned,,40,122047,91287,61226,122047,61226,61226,61226,61226,61226,61226
Partitions scanned,,41,122071,77686,92053,122071,61083,61083,61083,61083,61083,61083
Partitions scanned,,42,107415,91890,61057,107415,61057,61057,61057,61057,61057,61057
Partitions scanned,,43,61497,61497,61497,61497,61497,61497,61497,61497,61497,61497
Partitions scanned,,44,122071,90371,61240,122071,61240,61240,61240,61240,61240,61240
Partitions scanned,,45,122071,89934,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,46,92123,76504,61059,92123,61059,61059,61059,61059,61059,61059
Partitions scanned,,47,122071,90042,60825,122071,60825,60825,60825,60825,60825,60825
Partitions scanned,,48,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
Partitions scanned,,49,122071,77816,60839,122071,60839,60839,60839,60839,60839,60839
Partitions scanned,,50,122071,77686,92053,122071,61083,61083,61083,61083,61083,61083
Partitions scanned,,51,61027,61027,61027,61027,61027,61027,61027,61027,61027,61027
Partitions scanned,,52,121935,77061,61332,121935,61332,61332,61332,61332,61332,61332
Partitions scanned,,53,122071,80070,60988,122071,60988,60988,60988,60988,60988,60988
Partitions scanned,,54,122071,87206,60969,122071,60969,60969,60969,60969,60969,60969
Partitions scanned,,55,115074,91842,60926,115074,60926,60926,60926,60926,60926,60926
Partitions scanned,,56,91859,84144,60874,91859,60874,60874,60874,60874,60874,60874
Partitions scanned,,57,122071,86854,60915,122071,60915,60915,60915,60915,60915,60915
Partitions scanned,,58,122071,83827,61226,122071,61226,61226,61226,61226,61226,61226
Partitions scanned,,59,61027,61027,61027,61027,61027,61027,61027,61027,61027,61027
Partitions scanned,,60,122070,77280,61005,122070,61005,61005,61005,61005,61005,61005
Partitions scanned,,61,122071,78553,60996,122071,60996,60996,60996,60996,60996,60996
Partitions scanned,,62,122071,81275,91646,122071,60538,60538,60538,60538,60538,60538
Partitions scanned,,63,122071,78687,61007,122071,61007,61007,61007,61007,61007,61007
Partitions scanned,,64,122071,77741,60960,122071,60960,60960,60960,60960,60960,60960
Partitions scanned,,65,122071,85360,61047,122071,61047,61047,61047,61047,61047,61047
Partitions scanned,,66,122071,90308,60666,122071,60666,60666,60666,60666,60666,60666
Partitions scanned,,67,122039,76798,61006,122039,61006,61006,61006,61006,61006,61006
Partitions scanned,,68,122071,79692,61271,122071,61271,61271,61271,61271,61271,61271
Partitions scanned,,69,91859,84144,60874,91859,60874,60874,60874,60874,60874,60874
Partitions scanned,,70,122071,77686,92053,122071,61083,61083,61083,61083,61083,61083
Partitions scanned,,71,122071,85043,60779,122071,60779,60779,60779,60779,60779,60779
Partitions scanned,,72,122071,89934,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,73,122071,80392,61066,122071,61066,61066,61066,61066,61066,61066
Partitions scanned,,74,122071,90691,61039,122071,61039,61039,61039,61039,61039,61039
Partitions scanned,,75,121765,76901,61188,121765,61188,61188,61188,61188,61188,61188
Partitions scanned,,76,122071,87537,60914,122071,60914,60914,60914,60914,60914,60914
Partitions scanned,,77,122071,84678,92053,122071,61200,61200,61200,61200,61200,61200
Partitions scanned,,78,122071,89934,91912,122071,61080,61080,61080,61080,61080,61080
Partitions scanned,,79,122071,79692,61271,122071,61271,61271,61271,61271,61271,61271
Partitions scanned,,80,122071,81378,61072,122071,61072,61072,61072,61072,61072,61072
Partitions scanned,,81,122071,90371,61240,122071,61240,61240,61240,61240,61240,61240
Partitions scanned,,82,122071,90559,91912,122071,60828,60828,60828,60828,60828,60828
Partitions scanned,,83,122071,81180,91827,122071,61059,91827,61059,61059,61059,61059
Partitions scanned,,84,122071,89934,91912,122071,61080,61080,61080,61080,61080,61080
Partitions scanned,,85,122056,77153,61101,122056,61101,61101,61101,61101,61101,61101
Partitions scanned,,86,122071,90461,61109,122071,61109,61109,61109,61109,61109,61109
Partitions scanned,,87,122071,87407,61058,122071,61058,61058,61058,61058,61058,61058
Partitions scanned,,88,122071,83040,60724,122071,60724,60724,60724,60724,60724,60724
Partitions scanned,,89,122071,87407,61058,122071,61058,61058,61058,61058,61058,61058
Partitions scanned,,90,122071,84184,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,91,122071,83040,60724,122071,60724,60724,60724,60724,60724,60724
Partitions scanned,,92,61497,61497,61497,61497,61497,61497,61497,61497,61497,61497
Partitions scanned,,93,122071,81378,61072,122071,61072,61072,61072,61072,61072,61072
Partitions scanned,,94,115036,76260,60861,115036,60861,60861,60861,60861,60861,60861
Partitions scanned,,95,122070,77280,61005,122070,61005,61005,61005,61005,61005,61005
Partitions scanned,,96,122071,88330,60815,122071,60815,60815,60815,60815,60815,60815
Partitions scanned,,97,122071,84471,61013,122071,61013,61013,61013,61013,61013,61013
Partitions scanned,,98,122071,89534,61248,122071,61248,61248,61248,61248,61248,61248
Partitions scanned,,99,122071,89934,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,100,120468,91364,60933,120468,60933,60933,60933,60933,60933,60933
Partitions scanned,,101,122071,90197,61375,122071,61375,61375,61375,61375,61375,61375
Partitions scanned,,102,121935,77061,61332,121935,61332,61332,61332,61332,61332,61332
Partitions scanned,,103,122071,84471,61013,122071,61013,61013,61013,61013,61013,61013
Partitions scanned,,104,122071,88646,91902,122071,60668,60668,60668,60668,60668,60668
Partitions scanned,,105,122071,89934,61129,122071,61129,61129,61129,61129,61129,61129
Partitions scanned,,106,122071,86854,60915,122071,60915,60915,60915,60915,60915,60915
Partitions scanned,,107,122071,80718,60936,122071,60936,60936,60936,60936,60936,60936
Partitions scanned,,108,122071,81378,61072,122071,61072,61072,61072,61072,61072,61072
Partitions scanned,,109,122012,91410,61188,122012,61188,61188,61188,61188,61188,61188
Partitions scanned,,110,122071,86768,61258,122071,61258,61258,61258,61258,61258,61258
Partitions scanned,,111,122071,90308,60666,122071,60666,60666,60666,60666,60666,60666
Partitions scanned,,112,122071,78687,61007,122071,61007,61007,61007,61007,61007,61007
