Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,113777,74563,122071,74631,25489,122071
Partitions scanned,,2,122071,113873,51840,122071,75306,17746,122071
Partitions scanned,,3,122071,113815,61900,122071,75272,17860,122071
Partitions scanned,,4,122071,113922,32933,122071,75711,9158,122071
Partitions scanned,,5,122071,113746,51676,122071,75710,17645,122071
Partitions scanned,,6,122071,113731,61757,122071,74479,17651,122071
Partitions scanned,,7,122071,114141,70216,122071,76292,17584,122071
Partitions scanned,,8,122071,113954,66685,122071,75857,9257,122071
Partitions scanned,,9,122071,113719,46113,122071,75613,9196,122071
Partitions scanned,,10,122071,113910,66434,122071,76183,17771,122071
Partitions scanned,,11,122071,113648,74629,122071,74410,9071,122071
Partitions scanned,,12,122071,113882,45990,122071,75376,9303,122071
Partitions scanned,,13,122071,113866,66223,122071,76151,17938,122071
Partitions scanned,,14,122071,113668,51589,122071,74772,9160,122071
Partitions scanned,,15,122071,113906,51896,122071,75966,9174,122071
Partitions scanned,,16,122071,113906,66326,122071,74853,25491,122071
Partitions scanned,,17,122071,113585,61788,122071,74431,9123,122071
Partitions scanned,,18,122071,113947,51499,122071,76189,17509,122071
Partitions scanned,,19,122071,114058,61948,122071,76070,17785,122071
Partitions scanned,,20,122071,113987,74500,122071,76166,25351,122071
Partitions scanned,,21,122071,114163,74356,122071,76323,25676,122071
Partitions scanned,,22,122071,113950,57142,122071,75291,18011,122071
Partitions scanned,,23,122071,113949,66576,122071,74562,9455,122071
Partitions scanned,,24,122071,113929,39704,122071,75646,9143,122071
Partitions scanned,,25,122071,114170,70661,122071,76634,25579,122071
Partitions scanned,,26,122071,113970,94509,122071,75910,9145,122071
Partitions scanned,,27,122071,113991,74277,122071,76119,17692,122071
Partitions scanned,,28,122071,113710,45906,122071,74224,9256,122071
Partitions scanned,,29,122071,113748,39395,122071,75694,25289,122071
Partitions scanned,,30,122071,114219,77937,122071,76515,32927,122071
Partitions scanned,,31,122071,113721,57100,122071,75017,9179,122071
Partitions scanned,,32,122071,114089,51512,122071,76744,17694,122071
Partitions scanned,,33,122071,113720,51197,122071,74557,9143,122071
Partitions scanned,,34,122071,113943,70541,122071,76213,17738,122071
Partitions scanned,,35,122071,113726,45674,122071,74989,17641,122071
Partitions scanned,,36,122071,113642,39606,122071,74861,9231,122071
Partitions scanned,,37,122071,114203,74480,122071,76551,9299,122071
Partitions scanned,,38,122071,113964,25399,122071,75776,9167,122071
Partitions scanned,,39,122071,114189,77928,122071,76400,17575,122071
Partitions scanned,,40,122071,113842,57247,122071,74747,17789,122071
Partitions scanned,,41,122071,114097,56752,122071,76257,17522,122071
Partitions scanned,,42,122071,113788,74539,122071,75146,32919,122071
Partitions scanned,,43,122071,114191,61907,122071,76586,17568,122071
Partitions scanned,,44,122071,113787,66738,122071,75667,9189,122071
Partitions scanned,,45,122071,114170,51569,122071,76228,32895,122071
Partitions scanned,,46,122071,113686,51572,122071,74826,25561,122071
Partitions scanned,,47,122071,113884,39386,122071,76349,9157,122071
Partitions scanned,,48,122071,113962,39649,122071,76489,17588,122071
Partitions scanned,,49,122071,113978,66362,122071,76202,9252,122071
Partitions scanned,,50,122071,114090,61952,122071,76546,17739,122071
Partitions scanned,,51,122071,113567,66738,122071,74709,25753,122071
Partitions scanned,,52,122071,113835,70647,122071,75562,17789,122071
Partitions scanned,,53,122071,114045,81321,122071,76151,17805,122071
Partitions scanned,,54,122071,113819,70893,122071,75171,25686,122071
Partitions scanned,,55,122071,113874,74563,122071,75219,17683,122071
