Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Time,s,1,1.00865,2.31782,1.18429,1.14121,1.0512,2.33977,1.07926
Time,s,2,0.6314,0.61863,0.69628,0.62219,0.69375,0.60811,0.63035
Time,s,3,0.61959,0.57272,0.57666,0.56992,0.57581,0.58894,0.58207
Time,s,4,0.65549,0.59193,0.57224,0.5947,0.5939,0.58658,0.58348
Time,s,5,0.63841,0.58393,0.57992,0.57771,0.58824,0.59305,0.60105
Time,s,6,0.61219,0.58652,0.61138,0.56938,0.59932,0.57164,0.58885
Time,s,7,0.61627,0.58409,0.59349,0.60116,0.57641,0.68481,0.60819
Time,s,8,0.65006,0.5759,0.58792,0.59617,0.57052,0.58535,0.58595
Time,s,9,0.62301,0.60323,0.56977,0.58572,0.59195,0.59567,0.58596
Time,s,10,0.62419,0.56884,0.5938,0.58792,0.58935,0.58158,0.58013
Time,s,11,0.61504,0.56116,0.59051,0.58834,0.56113,0.57429,0.59128
Time,s,12,0.64323,0.59775,0.57945,0.57377,0.58232,0.57639,0.57118
Time,s,13,0.60921,0.58374,0.56929,0.5832,0.59999,0.57627,0.58547
Time,s,14,0.60421,0.57676,0.58392,0.59587,0.59248,0.58252,0.61338
Time,s,15,0.63844,0.57979,0.58686,0.60078,0.56372,0.59659,0.57513
Time,s,16,0.62368,0.59705,0.55817,0.57098,0.57424,0.58831,0.57861
Time,s,17,0.62684,0.57347,0.5842,0.58024,0.57408,0.57017,0.58379
Time,s,18,0.67233,0.56315,0.59331,0.60143,0.57898,0.59359,0.59654
Time,s,19,0.60116,0.5831,0.57722,0.57222,0.57674,0.57195,0.60861
Time,s,20,0.61644,0.57419,0.56034,0.56363,0.57066,0.57352,0.60486
Time,s,21,0.64735,0.58326,0.57957,0.59876,0.56779,0.57534,0.58374
Time,s,22,0.62048,0.56569,0.5594,0.58693,0.59525,0.56916,0.57303
Time,s,23,0.60624,0.5721,0.60855,0.58732,0.59197,0.57204,0.59081
Time,s,24,0.61222,0.56697,0.58661,0.57386,0.56461,0.58511,0.57032
Time,s,25,0.63399,0.59173,0.58257,0.57598,0.57237,0.57052,0.56906
Time,s,26,0.61609,0.56815,0.56864,0.58143,0.57461,0.57378,0.59891
Time,s,27,0.67377,0.55947,0.57865,0.56019,0.56858,0.56935,1.16196
Time,s,28,0.64198,0.5814,0.57685,0.66999,0.56636,0.57456,0.58176
