Name,Unit,Query,Min/max,Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,2,5861,5861,5861,5861,5861,5861,5861
Partitions scanned,,3,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,4,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,5,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,6,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,7,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,8,5861,5861,5861,5861,5861,5861,5861
Partitions scanned,,9,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,10,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,11,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,12,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,13,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,14,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,15,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,16,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,17,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,18,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,19,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,20,2749,2177,459,2749,894,44,2555
Partitions scanned,,21,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,22,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,23,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,24,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,25,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,26,86,86,86,86,86,86,86
Partitions scanned,,27,344,344,344,344,344,344,344
Partitions scanned,,28,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,29,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,30,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,31,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,32,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,33,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,34,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,35,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,36,12207,12207,12207,12207,12207,12207,12207
Partitions scanned,,37,92,92,92,92,92,92,92
Partitions scanned,,38,92,92,92,92,92,92,92
Partitions scanned,,39,92,92,92,92,92,92,92
Partitions scanned,,40,92,92,92,92,92,92,92
Partitions scanned,,41,92,92,92,92,92,92,92
Partitions scanned,,42,92,92,92,92,92,92,92
Partitions scanned,,43,92,92,92,92,92,92,92
