Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.0299,0.0445,0.04255,0.06062
Time,s,1,0.01202,0.01252,0.01376,0.01222
Time,s,1,0.01112,0.01186,0.01236,0.01182
Time,s,1,0.01069,0.01184,0.01244,0.01113
Time,s,1,0.01074,0.01232,0.01503,0.01126
Time,s,1,0.01109,0.01153,0.01312,0.01105
Time,s,1,0.01112,0.01284,0.01291,0.0118
Time,s,1,0.01044,0.01355,0.01311,0.01189
Time,s,1,0.0107,0.01196,0.01283,0.01383
Time,s,1,0.01031,0.01196,0.01245,0.01345
Time,s,1,0.01132,0.01215,0.0139,0.01319
Time,s,1,0.01062,0.01222,0.01348,0.01303
Time,s,1,0.01088,0.01131,0.01276,0.01353
Time,s,1,0.01056,0.01232,0.01346,0.01287
Time,s,1,0.01113,0.01186,0.01308,0.01354
Time,s,1,0.01098,0.01158,0.01305,0.01368
Time,s,1,0.01079,0.01191,0.01278,0.0137
Time,s,1,0.01076,0.01219,0.01259,0.01293
Time,s,1,0.01115,0.01167,0.0129,0.01273
Time,s,1,0.01056,0.01199,0.01217,0.01274
Time,s,1,0.01061,0.01169,0.01311,0.01315
Time,s,1,0.01059,0.01187,0.0123,0.01321
Time,s,1,0.01058,0.01219,0.01222,0.01263
Time,s,1,0.01089,0.01125,0.01231,0.01235
Time,s,1,0.01065,0.01307,0.01348,0.01238
Time,s,1,0.01063,0.01292,0.01243,0.01269
Time,s,1,0.01077,0.01347,0.01227,0.01306
Time,s,1,0.01065,0.0136,0.01208,0.01298
Time,s,1,0.01101,0.01159,0.01287,0.0132
Time,s,1,0.01059,0.01303,0.0132,0.01288
Time,s,1,0.01091,0.0123,0.01286,0.0127
Time,s,1,0.0111,0.01213,0.01182,0.01239
Time,s,1,0.01142,0.01235,0.01184,0.01338
Time,s,1,0.01126,0.01263,0.01247,0.01242
Time,s,1,0.01106,0.01227,0.0121,0.01203
Time,s,1,0.01058,0.01246,0.01286,0.01187
Time,s,1,0.01031,0.01171,0.01215,0.0114
Time,s,1,0.01056,0.01186,0.01313,0.01243
Time,s,1,0.01047,0.01191,0.01257,0.01376
Time,s,1,0.01058,0.01331,0.01252,0.01241
Time,s,1,0.01084,0.01451,0.01272,0.01356
Time,s,1,0.01014,0.01212,0.01231,0.01284
Time,s,1,0.01038,0.01231,0.01235,0.01257
Time,s,1,0.01087,0.01178,0.01255,0.01292
Time,s,1,0.01058,0.01195,0.01278,0.01266
Time,s,1,0.01015,0.01193,0.01252,0.01372
Time,s,1,0.01095,0.01242,0.01272,0.01272
Time,s,1,0.01057,0.01244,0.01272,0.01235
Time,s,1,0.01074,0.01249,0.01515,0.01266
Time,s,1,0.01083,0.01261,0.01354,0.01317
Time,s,1,0.01062,0.01273,0.01372,0.01291
Time,s,1,0.01049,0.01224,0.01188,0.01294
Time,s,1,0.01071,0.01256,0.01188,0.01328
Time,s,1,0.01122,0.01403,0.01202,0.01242
Time,s,1,0.01082,0.01264,0.01284,0.01303
Time,s,1,0.01077,0.01238,0.01276,0.01309
Time,s,1,0.01072,0.01222,0.01254,0.01301
Time,s,1,0.01114,0.01227,0.01277,0.01241
Time,s,1,0.01068,0.01235,0.01382,0.01226
Time,s,1,0.0108,0.01262,0.01353,0.0129
Time,s,1,0.01121,0.0118,0.0135,0.01318
Time,s,1,0.01055,0.01194,0.01378,0.01307
Time,s,1,0.01069,0.01163,0.01477,0.01255
Time,s,1,0.01077,0.01232,0.0137,0.0128
Time,s,1,0.01073,0.01216,0.01463,0.01348
Time,s,1,0.01038,0.01219,0.01541,0.01274
Time,s,1,0.01082,0.01195,0.01365,0.01303
Time,s,1,0.0104,0.013,0.01433,0.01323
Time,s,1,0.01094,0.01196,0.01361,0.01306
Time,s,1,0.01104,0.02223,0.01362,0.01283
Time,s,1,0.01092,0.01237,0.01367,0.01292
Time,s,1,0.01056,0.01271,0.01351,0.01209
Time,s,1,0.01052,0.01251,0.01389,0.01321
Time,s,1,0.01053,0.01143,0.01454,0.01308
Time,s,1,0.01092,0.01275,0.01428,0.01296
Time,s,1,0.01106,0.01247,0.01394,0.01277
Time,s,1,0.01081,0.01268,0.01354,0.01201
Time,s,1,0.01099,0.01248,0.01455,0.01203
Time,s,1,0.01079,0.01228,0.01387,0.01334
Time,s,1,0.01069,0.01265,0.01377,0.01324
Time,s,1,0.01084,0.01242,0.0141,0.01245
Time,s,1,0.01098,0.01204,0.01445,0.01181
Time,s,1,0.01058,0.01211,0.01465,0.01223
Time,s,1,0.01143,0.01124,0.01423,0.0111
Time,s,1,0.01067,0.01215,0.01373,0.01185
Time,s,1,0.01044,0.01235,0.01365,0.01194
Time,s,1,0.01084,0.0119,0.0138,0.01184
Time,s,1,0.01083,0.01246,0.01362,0.01137
Time,s,1,0.01063,0.0126,0.01477,0.01108
Time,s,1,0.01061,0.01203,0.01364,0.01156
Time,s,1,0.01051,0.01276,0.01429,0.01236
Time,s,1,0.01066,0.01219,0.01299,0.01145
Time,s,1,0.01059,0.01214,0.01347,0.01182
Time,s,1,0.01101,0.0131,0.01365,0.01153
Time,s,1,0.01123,0.0126,0.01343,0.01135
Time,s,1,0.01084,0.01187,0.01406,0.01208
Time,s,1,0.01096,0.01207,0.01397,0.01172
Time,s,1,0.01075,0.0119,0.01338,0.01244
Time,s,1,0.01053,0.01269,0.01325,0.01083
Time,s,1,0.01087,0.01207,0.01216,0.01118
Time,s,2,0.01235,0.01338,0.03891,0.0196
Time,s,2,0.00968,0.01075,0.01064,0.01056
Time,s,2,0.00892,0.01074,0.01022,0.01073
Time,s,2,0.00945,0.0099,0.01044,0.01046
Time,s,2,0.00972,0.01046,0.01038,0.01061
Time,s,2,0.00982,0.01019,0.01101,0.01034
