Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.0337,0.05096,0.04601,0.0444
Time,s,2,0.0091,0.01486,0.02119,0.03103
Time,s,3,0.04219,0.03889,0.05155,0.04166
Time,s,4,0.03768,0.0458,0.05041,0.08586
Time,s,5,0.18619,0.22997,0.23209,0.22951
Time,s,6,0.30267,0.34872,0.32287,0.35151
Time,s,7,0.02794,0.01947,0.02109,0.01952
Time,s,8,0.01364,0.01437,0.01166,0.01106
Time,s,9,0.26434,0.24323,0.24216,0.25295
Time,s,10,0.3561,0.32764,0.32862,0.32935
Time,s,11,0.03319,0.03854,0.04107,0.05641
Time,s,12,0.03003,0.03299,0.03383,0.0302
Time,s,13,0.04995,0.05202,0.05113,0.04825
Time,s,14,0.07762,0.08099,0.09114,0.0821
Time,s,15,0.05184,0.05586,0.05779,0.05342
Time,s,16,0.20518,0.20593,0.21176,0.21502
Time,s,17,0.61434,0.68582,0.61797,0.65893
Time,s,18,0.46215,0.44291,0.45728,0.45283
Time,s,19,1.19794,1.16289,1.42471,1.26981
Time,s,20,0.01572,0.01535,0.02618,0.01629
Time,s,21,0.1967,0.20446,0.34756,0.20147
Time,s,22,0.1939,0.17535,0.30147,0.09149
Time,s,23,0.18004,0.21936,0.36524,0.1114
Time,s,24,0.17126,0.17966,0.2551,0.17062
Time,s,25,0.06114,0.05796,0.05769,0.0392
Time,s,26,0.02416,0.01631,0.01166,0.01437
Time,s,27,0.04226,0.03863,0.03766,0.02094
Time,s,28,0.17578,0.1359,0.13666,0.11843
Time,s,29,1.732,1.74252,1.8007,1.6682
Time,s,30,0.0333,0.03492,0.04358,0.04829
Time,s,31,0.05318,0.06983,0.05081,0.05763
Time,s,32,0.05507,0.08925,0.07598,0.08429
Time,s,33,1.56126,1.51086,1.45666,1.53621
Time,s,34,1.70835,1.19383,1.41776,1.23569
Time,s,35,1.46183,1.25323,1.35639,1.2904
Time,s,36,0.26329,0.30264,0.27707,0.30369
Time,s,37,0.02075,0.02616,0.0203,0.02735
Time,s,38,0.0154,0.02216,0.01683,0.01975
Time,s,39,0.00897,0.01436,0.0097,0.01487
Time,s,40,0.01107,0.02011,0.02154,0.03202
Time,s,41,0.01297,0.01307,0.01564,0.01114
Time,s,42,0.01562,0.01244,0.01077,0.0096
Time,s,43,0.01114,0.01264,0.01226,0.01107
