Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Rows scanned,millions,1,0.0,0.0,0.0,0.0
Rows scanned,millions,2,2.78951,2.78553,2.77875,2.77601
Rows scanned,millions,3,399.99,399.99,399.99,399.99
Rows scanned,millions,4,199.995,199.995,199.995,199.995
Rows scanned,millions,5,199.995,199.995,199.995,199.995
Rows scanned,millions,6,199.995,199.995,199.995,199.995
Rows scanned,millions,7,199.995,199.995,199.995,199.995
Rows scanned,millions,8,2.78951,2.78553,2.77875,2.77601
Rows scanned,millions,9,399.99,399.99,399.99,399.99
Rows scanned,millions,10,799.98,799.98,799.98,799.98
Rows scanned,millions,11,202.16795,202.16795,202.16795,65.1158
Rows scanned,millions,12,202.71738,202.71738,202.71738,65.25562
Rows scanned,millions,13,199.995,199.995,199.995,64.56485
Rows scanned,millions,14,202.16824,202.16824,202.16824,65.68952
Rows scanned,millions,15,265.6231,265.6231,265.6231,90.31432
Rows scanned,millions,16,199.995,199.995,199.995,199.995
Rows scanned,millions,17,399.99,399.99,399.99,399.99
Rows scanned,millions,18,399.99,399.99,399.99,399.99
Rows scanned,millions,19,599.985,599.985,599.985,599.985
Rows scanned,millions,20,0.35275,0.28721,0.13976,0.35275
Rows scanned,millions,21,199.995,199.995,199.995,199.995
Rows scanned,millions,22,389.926,378.05692,359.7774,114.44893
Rows scanned,millions,23,405.58533,311.1326,404.0021,116.20957
Rows scanned,millions,24,0.0,0.0,0.0,0.0
Rows scanned,millions,25,0.0,0.0,0.0,0.0
Rows scanned,millions,26,1.25095,1.18541,1.25095,0.5457
Rows scanned,millions,27,9.96508,9.96508,9.96508,3.18562
Rows scanned,millions,28,199.995,199.995,199.995,71.10207
Rows scanned,millions,29,199.995,199.995,199.995,67.80888
Rows scanned,millions,30,199.995,199.995,199.995,199.995
Rows scanned,millions,31,390.93893,390.90652,390.92065,130.8329
Rows scanned,millions,32,523.49347,523.46027,523.475,169.03185
Rows scanned,millions,33,799.98,799.98,799.98,799.98
Rows scanned,millions,34,199.995,199.995,199.995,199.995
Rows scanned,millions,35,199.995,199.995,199.995,199.995
Rows scanned,millions,36,199.995,199.995,199.995,199.995
Rows scanned,millions,37,3.77163,3.75935,3.75115,0.78565
Rows scanned,millions,38,3.77983,3.75115,3.77983,0.77746
Rows scanned,millions,39,3.33159,3.28509,3.33834,3.31112
Rows scanned,millions,40,4.79763,4.76077,4.79354,4.79354
Rows scanned,millions,41,5.15445,5.13401,5.14775,5.14365
Rows scanned,millions,42,3.77426,3.76599,3.75376,3.79476
Rows scanned,millions,43,3.75935,3.75115,3.77983,3.77983
