Name,Unit,Query,Min/max,Min/max clusters (10x),Bloom filter (10x),Dictionary (10x),Min/max clusters (100x),Bloom filter (100x),Dictionary (100x)
Time,s,1,0.03974,0.02096,0.02322,0.02273,0.02372,0.0205,0.03016
Time,s,1,0.00648,0.00642,0.00752,0.00719,0.00707,0.00443,0.00695
Time,s,1,0.00477,0.00484,0.00484,0.00554,0.00533,0.00387,0.00582
Time,s,1,0.00429,0.00474,0.0047,0.00489,0.00481,0.00363,0.00516
Time,s,1,0.0042,0.0048,0.00507,0.00463,0.00467,0.00366,0.00486
Time,s,1,0.00449,0.00483,0.00472,0.00517,0.00451,0.00363,0.00512
Time,s,1,0.00451,0.00463,0.00412,0.00461,0.00473,0.0036,0.00645
Time,s,1,0.00605,0.00437,0.00414,0.00452,0.00448,0.00359,0.0051
Time,s,1,0.00692,0.00456,0.00421,0.00477,0.00433,0.0037,0.00461
Time,s,1,0.00522,0.00442,0.0041,0.00444,0.00437,0.00357,0.00456
Time,s,1,0.00462,0.0044,0.00405,0.00446,0.00442,0.00359,0.00461
Time,s,1,0.00427,0.00421,0.00412,0.00467,0.00439,0.00362,0.00465
Time,s,1,0.00453,0.00409,0.00406,0.00402,0.00447,0.00353,0.00591
Time,s,1,0.00486,0.00425,0.00407,0.00402,0.00444,0.00376,0.00457
Time,s,1,0.00514,0.00422,0.00419,0.00415,0.00478,0.00361,0.00459
Time,s,1,0.00498,0.00441,0.00409,0.00398,0.00432,0.00368,0.00427
Time,s,1,0.00485,0.00459,0.00415,0.00403,0.00426,0.00365,0.0041
Time,s,1,0.00437,0.00429,0.00411,0.0044,0.0041,0.00355,0.00438
Time,s,1,0.00453,0.00418,0.00399,0.00397,0.00407,0.00364,0.00415
Time,s,1,0.00424,0.00397,0.00397,0.00393,0.0045,0.00362,0.00426
Time,s,1,0.00396,0.00411,0.00396,0.00398,0.00446,0.00368,0.00455
Time,s,1,0.00422,0.00401,0.00406,0.0041,0.00439,0.00374,0.00432
Time,s,1,0.00441,0.0039,0.00411,0.00418,0.00414,0.00354,0.0042
Time,s,1,0.00443,0.00405,0.00412,0.00407,0.00408,0.0038,0.00421
Time,s,1,0.00528,0.00387,0.0044,0.00451,0.00413,0.00357,0.00449
Time,s,1,0.00505,0.00395,0.0042,0.00426,0.00418,0.0037,0.00413
Time,s,1,0.00587,0.00431,0.00394,0.00405,0.00405,0.00365,0.00422
Time,s,1,0.00537,0.00386,0.00382,0.00398,0.00411,0.00357,0.0041
Time,s,1,0.00477,0.00401,0.00399,0.00396,0.00408,0.00387,0.00412
Time,s,1,0.00482,0.00399,0.00381,0.00399,0.00468,0.00358,0.00428
Time,s,1,0.00457,0.00386,0.00379,0.00389,0.00409,0.00372,0.00424
Time,s,1,0.00509,0.004,0.00419,0.00405,0.00454,0.0035,0.0041
Time,s,1,0.00548,0.00397,0.00523,0.004,0.00423,0.00367,0.00403
Time,s,1,0.0056,0.00416,0.00408,0.00383,0.00409,0.00353,0.00417
Time,s,1,0.00522,0.00394,0.0038,0.00386,0.00416,0.00367,0.005
Time,s,1,0.00524,0.00386,0.00395,0.00389,0.00401,0.00353,0.0048
Time,s,1,0.00497,0.00381,0.00389,0.00378,0.00445,0.00366,0.00461
Time,s,1,0.00473,0.00389,0.00367,0.00387,0.00434,0.00373,0.00507
Time,s,1,0.00483,0.00376,0.00387,0.00395,0.00406,0.00365,0.00541
Time,s,1,0.00632,0.0039,0.00383,0.00417,0.00425,0.00353,0.00506
Time,s,1,0.00618,0.00411,0.00392,0.004,0.00581,0.00362,0.00536
Time,s,1,0.00585,0.00375,0.00403,0.0038,0.00479,0.00371,0.00514
Time,s,1,0.00568,0.00366,0.00397,0.00401,0.00421,0.00387,0.00515
Time,s,1,0.0061,0.00372,0.00378,0.00401,0.00426,0.00406,0.00527
Time,s,1,0.00564,0.00373,0.00477,0.00397,0.00468,0.00356,0.00519
Time,s,1,0.00484,0.00393,0.00394,0.00399,0.00424,0.00364,0.00538
Time,s,1,0.00445,0.00445,0.00421,0.00385,0.00507,0.00364,0.00876
Time,s,1,0.00405,0.00392,0.00424,0.004,0.00424,0.00364,0.00621
Time,s,1,0.00413,0.00535,0.00385,0.00395,0.00437,0.00367,0.00548
Time,s,1,0.00389,0.00455,0.00392,0.0039,0.00426,0.00388,0.00487
Time,s,1,0.00387,0.00404,0.00422,0.00381,0.0048,0.00355,0.00454
Time,s,1,0.00399,0.00376,0.00415,0.00382,0.00412,0.00353,0.00422
Time,s,1,0.0048,0.00375,0.004,0.00436,0.00408,0.00374,0.0048
Time,s,1,0.00522,0.00382,0.00406,0.0042,0.00437,0.00359,0.00494
Time,s,1,0.00538,0.00369,0.00381,0.00397,0.0043,0.00392,0.00528
Time,s,1,0.00511,0.00383,0.00389,0.00404,0.00381,0.00365,0.00495
Time,s,1,0.0048,0.00399,0.00478,0.00383,0.00394,0.00357,0.00507
