Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Rows scanned,millions,1,2000.0,1867.224,243.27475,2000.0
Rows scanned,millions,2,2000.0,1871.8607,246.07642,2000.0
Rows scanned,millions,3,2000.0,1871.5002,244.48717,2000.0
Rows scanned,millions,4,2000.0,1868.7478,242.34087,2000.0
Rows scanned,millions,5,2000.0,1872.0901,241.60358,2000.0
Rows scanned,millions,6,2000.0,1869.0262,246.46964,2000.0
Rows scanned,millions,7,2000.0,1872.2704,241.22675,2000.0
Rows scanned,millions,8,2000.0,1870.9924,242.25894,2000.0
Rows scanned,millions,9,2000.0,1870.5664,245.6832,2000.0
Rows scanned,millions,10,2000.0,1872.893,246.15834,2000.0
Rows scanned,millions,11,2000.0,1867.7156,243.60243,2000.0
Rows scanned,millions,12,2000.0,1870.9596,245.86342,2000.0
Rows scanned,millions,13,2000.0,1869.0591,240.55501,2000.0
Rows scanned,millions,14,2000.0,1871.3528,246.38771,2000.0
Rows scanned,millions,15,2000.0,1869.9766,242.39001,2000.0
Rows scanned,millions,16,2000.0,1874.1053,244.864,2000.0
Rows scanned,millions,17,2000.0,1872.6307,244.83122,2000.0
Rows scanned,millions,18,2000.0,1870.0094,244.2578,2000.0
Rows scanned,millions,19,2000.0,1873.0568,241.4889,2000.0
Rows scanned,millions,20,2000.0,1872.4669,243.2256,2000.0
Rows scanned,millions,21,2000.0,1874.0562,244.1431,2000.0
Rows scanned,millions,22,2000.0,1871.959,244.94592,2000.0
Rows scanned,millions,23,2000.0,1871.7296,247.78035,2000.0
Rows scanned,millions,24,2000.0,1870.6156,244.84763,2000.0
Rows scanned,millions,25,2000.0,1870.7302,245.81427,2000.0
Rows scanned,millions,26,2000.0,1871.3528,244.37248,2000.0
Rows scanned,millions,27,2000.0,1869.2393,243.37306,2000.0
Rows scanned,millions,28,2000.0,1872.4342,243.47136,2000.0
Rows scanned,millions,29,2000.0,1872.8601,245.42107,2000.0
Rows scanned,millions,30,2000.0,1871.2053,243.04538,2000.0
Rows scanned,millions,31,2000.0,1872.3031,245.14253,2000.0
Rows scanned,millions,32,2000.0,1872.1229,243.78265,2000.0
Rows scanned,millions,33,2000.0,1870.4353,244.88039,2000.0
Rows scanned,millions,34,2000.0,1872.0737,243.81541,2000.0
Rows scanned,millions,35,2000.0,1869.5178,244.99507,2000.0
Rows scanned,millions,36,2000.0,1872.9093,242.01318,2000.0
Rows scanned,millions,37,2000.0,1870.1569,243.7335,2000.0
Rows scanned,millions,38,2000.0,1872.7947,244.30695,2000.0
Rows scanned,millions,39,2000.0,1872.4506,246.04366,2000.0
Rows scanned,millions,40,2000.0,1871.9426,244.06117,2000.0
Rows scanned,millions,41,2000.0,1871.0579,243.45499,2000.0
Rows scanned,millions,42,2000.0,1871.402,241.42336,2000.0
Rows scanned,millions,43,2000.0,1871.3201,244.89677,2000.0
Rows scanned,millions,44,2000.0,1872.1229,242.47194,2000.0
Rows scanned,millions,45,2000.0,1874.7279,247.12498,2000.0
Rows scanned,millions,46,2000.0,1869.1737,242.43916,2000.0
Rows scanned,millions,47,2000.0,1871.9099,243.29114,2000.0
Rows scanned,millions,48,2000.0,1871.5002,244.89677,2000.0
Rows scanned,millions,49,2000.0,1871.3364,243.19283,2000.0
Rows scanned,millions,50,2000.0,1872.0245,244.51994,2000.0
Rows scanned,millions,51,2000.0,1870.8285,242.35725,2000.0
Rows scanned,millions,52,2000.0,1871.3528,242.4064,2000.0
Rows scanned,millions,53,2000.0,1872.0574,241.65274,2000.0
Rows scanned,millions,54,2000.0,1869.9929,245.45383,2000.0
Rows scanned,millions,55,2000.0,1873.3517,245.077,2000.0
Rows scanned,millions,56,2000.0,1869.141,243.83182,2000.0
Rows scanned,millions,57,2000.0,1870.0913,244.71654,2000.0
Rows scanned,millions,58,2000.0,1873.2534,241.78381,2000.0
Rows scanned,millions,59,2000.0,1873.155,242.9307,2000.0
Rows scanned,millions,60,2000.0,1871.2382,245.33914,2000.0
Rows scanned,millions,61,2000.0,1870.6156,245.04422,2000.0
Rows scanned,millions,62,2000.0,1870.5991,243.83182,2000.0
Rows scanned,millions,63,2000.0,1869.4032,245.5849,2000.0
Rows scanned,millions,64,2000.0,1871.9918,247.37074,2000.0
Rows scanned,millions,65,2000.0,1870.337,241.63635,2000.0
Rows scanned,millions,66,2000.0,1872.7782,246.02727,2000.0
Rows scanned,millions,67,2000.0,1872.5653,245.76512,2000.0
Rows scanned,millions,68,2000.0,1870.7794,245.5849,2000.0
Rows scanned,millions,69,2000.0,1870.4026,241.70189,2000.0
Rows scanned,millions,70,2000.0,1870.2715,244.51994,2000.0
Rows scanned,millions,71,2000.0,1871.0251,243.29114,2000.0
Rows scanned,millions,72,2000.0,1873.9579,244.09395,2000.0
Rows scanned,millions,73,2000.0,1872.0082,244.01202,2000.0
Rows scanned,millions,74,2000.0,1871.6313,242.48833,2000.0
Rows scanned,millions,75,2000.0,1872.6144,243.24197,2000.0
Rows scanned,millions,76,2000.0,1868.9116,244.84763,2000.0
Rows scanned,millions,77,2000.0,1872.598,245.38829,2000.0
Rows scanned,millions,78,2000.0,1870.9269,243.30753,2000.0
