Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.17565,0.16722,0.0608,0.18155
Time,s,1,0.1774,0.16871,0.06271,0.17973
Time,s,1,0.20106,0.16693,0.06238,0.17833
Time,s,1,0.19661,0.17122,0.06221,0.17743
Time,s,1,0.19171,0.16756,0.06287,0.17814
Time,s,1,0.19384,0.16785,0.06332,0.17791
Time,s,1,0.19454,0.16982,0.06262,0.18475
Time,s,1,0.18946,0.16828,0.06235,0.18734
Time,s,1,0.17446,0.16816,0.06197,0.1782
Time,s,1,0.17904,0.16698,0.06167,0.18175
Time,s,1,0.17619,0.16863,0.06175,0.18356
Time,s,1,0.17539,0.16786,0.06136,0.18448
Time,s,1,0.17866,0.17194,0.06143,0.18136
Time,s,1,0.19402,0.16786,0.06261,0.18826
Time,s,1,0.19744,0.17492,0.06174,0.18368
Time,s,1,0.18314,0.17393,0.06142,0.17953
Time,s,1,0.17506,0.16893,0.06141,0.18414
Time,s,1,0.17851,0.17168,0.06103,0.18186
Time,s,1,0.17452,0.16937,0.06093,0.17996
Time,s,1,0.17765,0.17123,0.0663,0.17977
Time,s,1,0.17565,0.17518,0.0613,0.18087
Time,s,1,0.17817,0.17434,0.06268,0.17896
Time,s,1,0.1761,0.17477,0.06685,0.18048
Time,s,1,0.17778,0.17482,0.0624,0.17894
Time,s,1,0.18789,0.16908,0.06123,0.17844
Time,s,1,0.18178,0.16828,0.06114,0.18223
Time,s,1,0.1745,0.16949,0.06164,0.17807
Time,s,1,0.17383,0.16868,0.06426,0.17841
Time,s,1,0.17357,0.16918,0.06092,0.1785
Time,s,1,0.17519,0.17532,0.06173,0.17864
Time,s,1,0.17403,0.17689,0.06765,0.17858
Time,s,1,0.17718,0.17842,0.06447,0.17909
Time,s,1,0.17378,0.16959,0.07187,0.17754
Time,s,1,0.17461,0.17167,0.06304,0.18022
Time,s,1,0.18245,0.16823,0.07058,0.18935
Time,s,1,0.1822,0.16945,0.06634,0.18683
Time,s,1,0.1939,0.1703,0.06527,0.17893
Time,s,1,0.1842,0.16746,0.06634,0.17922
Time,s,1,0.1752,0.1698,0.06044,0.18397
Time,s,1,0.18033,0.175,0.06913,0.17909
Time,s,1,0.19397,0.17121,0.06277,0.18735
Time,s,1,0.18902,0.17225,0.06127,0.18325
Time,s,1,0.17821,0.17038,0.06678,0.18401
Time,s,1,0.17393,0.1713,0.06122,0.18957
Time,s,1,0.17424,0.17116,0.06078,0.18451
Time,s,1,0.17327,0.17337,0.06351,0.18393
Time,s,1,0.17401,0.17346,0.06276,0.18416
Time,s,1,0.17363,0.16789,0.07159,0.19046
Time,s,1,0.17405,0.17371,0.06207,0.18603
Time,s,1,0.17471,0.16926,0.06234,0.1846
Time,s,1,0.17383,0.17456,0.06356,0.18043
Time,s,1,0.17372,0.17005,0.06062,0.18
Time,s,1,0.18134,0.16824,0.06042,0.18405
Time,s,1,0.18431,0.16776,0.06036,0.18728
Time,s,1,0.18137,0.17358,0.06135,0.17903
Time,s,1,0.18681,0.16898,0.06321,0.18172
Time,s,1,0.17864,0.16895,0.06278,0.18013
Time,s,1,0.1787,0.17671,0.06211,0.18087
Time,s,1,0.17883,0.17588,0.06165,0.1796
Time,s,1,0.18008,0.1808,0.06233,0.18302
Time,s,1,0.18424,0.17601,0.06485,0.18138
Time,s,1,0.17937,0.17542,0.06224,0.18734
Time,s,1,0.18219,0.17605,0.06635,0.18012
Time,s,1,0.17643,0.17746,0.06251,0.18084
Time,s,1,0.1791,0.1745,0.06775,0.18084
Time,s,1,0.17742,0.17554,0.06785,0.18756
Time,s,1,0.17418,0.17411,0.06301,0.18763
Time,s,1,0.17405,0.17744,0.06643,0.18782
Time,s,1,0.17678,0.18016,0.06066,0.18999
Time,s,1,0.17656,0.17362,0.06107,0.18044
Time,s,1,0.17746,0.17413,0.06375,0.18257
Time,s,1,0.17475,0.17251,0.06313,0.1842
Time,s,1,0.17599,0.17123,0.0702,0.1812
Time,s,1,0.17644,0.17027,0.06437,0.18592
Time,s,1,0.17729,0.17125,0.06192,0.18305
Time,s,1,0.18341,0.17174,0.06591,0.18624
