Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Rows scanned,millions,1,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,2,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,3,0.01638,0.0,0.0,0.01638
Rows scanned,millions,4,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,5,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,6,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,7,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,8,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,9,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,10,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,11,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,12,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,13,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,14,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,15,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,16,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,17,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,18,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,19,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,20,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,21,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,22,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,23,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,24,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,25,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,26,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,27,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,28,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,29,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,30,0.01638,0.0,0.0,0.01638
Rows scanned,millions,31,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,32,0.01638,0.0,0.0,0.01638
Rows scanned,millions,33,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,34,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,35,0.01638,0.0,0.0,0.01638
Rows scanned,millions,36,0.01448,0.01448,0.01448,0.01448
Rows scanned,millions,37,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,38,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,39,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,40,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,41,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,42,0.01638,0.0,0.01638,0.01638
Rows scanned,millions,43,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,44,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,45,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,46,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,47,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,48,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,49,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,50,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,51,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,52,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,53,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,54,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,55,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,56,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,57,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,58,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,59,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,60,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,61,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,62,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,63,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,64,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,65,0.01638,0.0,0.0,0.01638
Rows scanned,millions,66,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,67,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,68,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,69,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,70,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,71,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,72,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,73,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,74,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,75,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,76,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,77,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,78,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,79,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,80,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,81,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,82,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,83,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,84,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,85,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,86,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,87,0.01638,0.0,0.0,0.01638
Rows scanned,millions,88,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,89,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,90,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,91,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,92,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,93,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,94,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,95,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,96,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,97,0.01638,0.01638,0.01638,0.01638
Rows scanned,millions,98,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,99,0.01638,0.01638,0.0,0.01638
Rows scanned,millions,100,0.0088,0.0088,0.0088,0.0088
