Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.03825,0.04767,0.04619,0.03995
Time,s,1,0.03299,0.04116,0.04217,0.03422
Time,s,1,0.03084,0.03743,0.0387,0.03044
Time,s,1,0.02951,0.03478,0.03366,0.02954
Time,s,1,0.02905,0.03404,0.03374,0.03203
Time,s,1,0.03308,0.03368,0.03207,0.03762
Time,s,1,0.0299,0.0348,0.03222,0.03466
Time,s,1,0.02859,0.0352,0.03134,0.03007
Time,s,1,0.0281,0.03639,0.03099,0.02906
Time,s,1,0.02749,0.03485,0.03067,0.02763
Time,s,1,0.0294,0.03287,0.03096,0.03149
Time,s,1,0.02912,0.03279,0.0315,0.03578
Time,s,1,0.02771,0.03253,0.0323,0.03201
Time,s,1,0.02703,0.03199,0.03047,0.02864
Time,s,1,0.02623,0.032,0.03081,0.02917
Time,s,1,0.02646,0.03202,0.03109,0.0285
Time,s,1,0.02606,0.03198,0.03076,0.02808
Time,s,1,0.02843,0.03357,0.03134,0.02883
Time,s,1,0.0275,0.03159,0.03269,0.02912
Time,s,1,0.02725,0.03422,0.03353,0.03475
Time,s,1,0.02679,0.03955,0.03322,0.04135
Time,s,1,0.02611,0.03414,0.03167,0.03894
Time,s,1,0.02698,0.03248,0.03124,0.03894
Time,s,1,0.02636,0.03316,0.03051,0.0392
Time,s,1,0.0268,0.03323,0.03096,0.04061
Time,s,1,0.02744,0.03186,0.03046,0.04046
Time,s,1,0.02751,0.03178,0.03118,0.03603
Time,s,1,0.02675,0.03124,0.03119,0.03726
Time,s,1,0.02637,0.03155,0.03021,0.03302
Time,s,1,0.02687,0.03117,0.03147,0.03146
Time,s,1,0.02717,0.0321,0.03258,0.03038
Time,s,1,0.02683,0.03101,0.0334,0.02882
Time,s,1,0.02664,0.0306,0.03154,0.02767
Time,s,1,0.0266,0.03081,0.03071,0.02755
Time,s,1,0.02742,0.03045,0.03015,0.02893
Time,s,1,0.02632,0.03046,0.02997,0.04198
Time,s,1,0.02698,0.03068,0.03016,0.04515
Time,s,1,0.02611,0.03124,0.03064,0.04745
Time,s,1,0.0268,0.03076,0.03035,0.03939
Time,s,1,0.02753,0.03273,0.03225,0.03368
Time,s,1,0.02754,0.03444,0.03107,0.03036
Time,s,1,0.02614,0.03147,0.03067,0.02836
Time,s,1,0.02654,0.03065,0.03117,0.02824
Time,s,1,0.0269,0.03,0.03157,0.02768
Time,s,1,0.02664,0.03037,0.03083,0.02757
Time,s,1,0.02638,0.03015,0.02996,0.02774
Time,s,1,0.02619,0.03048,0.03166,0.02988
Time,s,1,0.02678,0.03079,0.03122,0.03102
Time,s,1,0.02695,0.03089,0.0308,0.02894
Time,s,1,0.02709,0.03042,0.03106,0.02808
Time,s,1,0.0283,0.03092,0.03135,0.02798
Time,s,1,0.02697,0.03091,0.03159,0.0278
Time,s,1,0.0319,0.03039,0.03131,0.02809
Time,s,1,0.0312,0.03102,0.03709,0.02892
Time,s,1,0.02725,0.03215,0.03342,0.02786
Time,s,1,0.02607,0.04286,0.03209,0.02764
Time,s,1,0.02816,0.03615,0.0315,0.02843
Time,s,1,0.02772,0.03386,0.03075,0.02803
Time,s,1,0.02707,0.03215,0.03004,0.02859
Time,s,1,0.02753,0.03262,0.03086,0.02793
Time,s,1,0.02771,0.03125,0.03021,0.02874
Time,s,1,0.0275,0.03091,0.03022,0.02811
Time,s,1,0.02729,0.03178,0.03058,0.02769
Time,s,1,0.02785,0.03085,0.03138,0.02888
Time,s,1,0.03228,0.03142,0.03097,0.0289
Time,s,1,0.02821,0.0313,0.03048,0.02836
Time,s,1,0.02685,0.03163,0.03157,0.02835
Time,s,1,0.02626,0.03099,0.03089,0.02808
Time,s,1,0.02691,0.03095,0.03025,0.02781
Time,s,1,0.02764,0.03177,0.03104,0.02728
Time,s,1,0.02855,0.03726,0.03451,0.02734
Time,s,1,0.02749,0.0384,0.03071,0.02814
