Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,89521,1,36970,89521
Partitions scanned,,2,47089,1,19332,47089
Partitions scanned,,3,8573,1,3457,8573
Partitions scanned,,4,21886,1,9087,21886
Partitions scanned,,5,49855,1,20614,49855
Partitions scanned,,6,67675,1,27997,67675
Partitions scanned,,7,80697,1,33108,80697
Partitions scanned,,8,65862,1,27047,65862
Partitions scanned,,9,49657,1,20573,49657
Partitions scanned,,10,80219,1,33241,80219
Partitions scanned,,11,55959,1,23165,55959
Partitions scanned,,12,57910,1,23628,57910
Partitions scanned,,13,76656,1,31458,76656
Partitions scanned,,14,86772,1,35781,86772
Partitions scanned,,15,59880,1,24608,59880
Partitions scanned,,16,89053,1,36767,89053
Partitions scanned,,17,99212,0,40950,99212
Partitions scanned,,18,85314,1,35099,85314
Partitions scanned,,19,39180,1,16176,39180
Partitions scanned,,20,95672,1,39306,95672
Partitions scanned,,21,47071,1,19245,47071
Partitions scanned,,22,88811,1,36462,88811
Partitions scanned,,23,79036,1,32455,79036
Partitions scanned,,24,19869,1,8143,19869
Partitions scanned,,25,10713,1,4469,10713
Partitions scanned,,26,66851,1,27571,66851
Partitions scanned,,27,76646,1,31695,76646
Partitions scanned,,28,27590,1,11515,27590
Partitions scanned,,29,48948,1,20341,48948
Partitions scanned,,30,11220,1,4617,11220
Partitions scanned,,31,58333,1,24010,58333
Partitions scanned,,32,41115,1,16975,41115
Partitions scanned,,33,53412,1,22018,53412
Partitions scanned,,34,19515,1,8066,19515
Partitions scanned,,35,85901,1,35358,85901
Partitions scanned,,36,52836,1,21545,52836
Partitions scanned,,37,20487,1,8334,20487
Partitions scanned,,38,1164,1,484,1164
Partitions scanned,,39,16627,0,6799,16627
Partitions scanned,,40,85266,1,35066,85266
Partitions scanned,,41,78241,1,32104,78241
Partitions scanned,,42,86142,1,35415,86142
Partitions scanned,,43,66290,1,27383,66290
Partitions scanned,,44,22801,1,9360,22801
Partitions scanned,,45,7939,0,3205,7939
Partitions scanned,,46,10084,1,4152,10084
Partitions scanned,,47,13140,1,5249,13140
Partitions scanned,,48,97013,1,40074,97013
Partitions scanned,,49,73782,1,30464,73782
Partitions scanned,,50,14472,0,6034,14472
Partitions scanned,,51,87616,1,36137,87616
Partitions scanned,,52,4159,0,1747,4159
Partitions scanned,,53,75299,1,30849,75299
Partitions scanned,,54,95704,1,39564,95704
Partitions scanned,,55,28069,1,11585,28069
Partitions scanned,,56,89564,1,36854,89564
Partitions scanned,,57,95406,1,39357,95406
Partitions scanned,,58,23117,1,9508,23117
Partitions scanned,,59,92519,1,38088,92519
Partitions scanned,,60,71771,1,29640,71771
Partitions scanned,,61,20364,1,8342,20364
Partitions scanned,,62,75641,1,31371,75641
Partitions scanned,,63,39687,1,16321,39687
Partitions scanned,,64,63212,1,25852,63212
Partitions scanned,,65,90218,1,37043,90218
Partitions scanned,,66,59121,1,24125,59121
Partitions scanned,,67,99404,0,40887,99404
Partitions scanned,,68,86587,1,35688,86587
Partitions scanned,,69,90429,1,37141,90429
Partitions scanned,,70,10662,1,4344,10662
Partitions scanned,,71,82640,1,34051,82640
Partitions scanned,,72,30843,1,12754,30843
Partitions scanned,,73,41554,1,16988,41554
Partitions scanned,,74,41458,1,17163,41458
Partitions scanned,,75,63091,1,26028,63091
Partitions scanned,,76,67688,1,27975,67688
Partitions scanned,,77,93456,1,38477,93456
Partitions scanned,,78,28876,1,11919,28876
Partitions scanned,,79,1026,1,430,1026
Partitions scanned,,80,41316,1,17180,41316
Partitions scanned,,81,28015,1,11389,28015
Partitions scanned,,82,20557,1,8388,20557
Partitions scanned,,83,67393,1,27670,67393
Partitions scanned,,84,53853,1,21972,53853
Partitions scanned,,85,50103,1,20714,50103
Partitions scanned,,86,28587,1,11766,28587
Partitions scanned,,87,69260,1,28345,69260
Partitions scanned,,88,84260,1,34807,84260
Partitions scanned,,89,50041,1,20568,50041
Partitions scanned,,90,8194,1,3383,8194
Partitions scanned,,91,87994,1,36258,87994
Partitions scanned,,92,49704,1,20508,49704
Partitions scanned,,93,50167,1,20548,50167
Partitions scanned,,94,67010,0,27437,67010
Partitions scanned,,95,52778,1,21880,52778
Partitions scanned,,96,81420,1,33870,81420
Partitions scanned,,97,58406,1,24138,58406
Partitions scanned,,98,67009,0,27481,67009
Partitions scanned,,99,57494,1,23534,57494
Partitions scanned,,100,51236,1,21230,51236
Partitions scanned,,101,5336,1,2235,5336
Partitions scanned,,102,13491,0,5579,13491
Partitions scanned,,103,48389,1,19998,48389
Partitions scanned,,104,96456,1,39747,96456
Partitions scanned,,105,59198,1,24106,59198
Partitions scanned,,106,98830,1,40573,98830
Partitions scanned,,107,95910,1,39555,95910
Partitions scanned,,108,41700,1,17274,41700
Partitions scanned,,109,47729,1,19730,47729
Partitions scanned,,110,91041,1,37837,91041
Partitions scanned,,111,51953,1,21373,51953
Partitions scanned,,112,81250,1,33549,81250
Partitions scanned,,113,48403,0,20017,48403
Partitions scanned,,114,73795,0,30530,73795
Partitions scanned,,115,47555,1,19647,47555
Partitions scanned,,116,8719,1,3582,8719
Partitions scanned,,117,50169,1,20685,50169
Partitions scanned,,118,74217,1,30631,74217
Partitions scanned,,119,30977,1,12868,30977
Partitions scanned,,120,83508,1,34466,83508
Partitions scanned,,121,46964,0,19322,46964
Partitions scanned,,122,93961,1,38666,93961
Partitions scanned,,123,12516,1,5063,12516
Partitions scanned,,124,56125,1,23086,56125
Partitions scanned,,125,41989,1,17426,41989
Partitions scanned,,126,24113,1,10070,24113
Partitions scanned,,127,34985,1,14469,34985
Partitions scanned,,128,85796,1,35239,85796
Partitions scanned,,129,80276,1,33191,80276
Partitions scanned,,130,75320,1,30991,75320
Partitions scanned,,131,57045,0,23384,57045
Partitions scanned,,132,38234,1,15813,38234
Partitions scanned,,133,3983,1,1669,3983
Partitions scanned,,134,31604,1,13066,31604
Partitions scanned,,135,30414,1,12507,30414
Partitions scanned,,136,38514,1,15753,38514
Partitions scanned,,137,73805,1,30117,73805
Partitions scanned,,138,2078,1,894,2078
Partitions scanned,,139,53797,1,22277,53797
Partitions scanned,,140,19497,0,7953,19497
Partitions scanned,,141,45382,0,18686,45382
Partitions scanned,,142,96259,1,39958,96259
Partitions scanned,,143,21382,1,8710,21382
Partitions scanned,,144,87068,1,35839,87068
Partitions scanned,,145,4649,1,1905,4649
Partitions scanned,,146,28500,1,11742,28500
Partitions scanned,,147,1795,1,700,1795
Partitions scanned,,148,59951,1,24593,59951
Partitions scanned,,149,68799,1,28338,68799
Partitions scanned,,150,72481,1,29896,72481
Partitions scanned,,151,97952,0,40433,97952
Partitions scanned,,152,49429,0,20320,49429
Partitions scanned,,153,75724,1,31329,75724
Partitions scanned,,154,14263,1,5940,14263
Partitions scanned,,155,6206,1,2489,6206
Partitions scanned,,156,25182,1,10471,25182
Partitions scanned,,157,20319,1,8413,20319
Partitions scanned,,158,38918,1,15870,38918
Partitions scanned,,159,52762,1,21729,52762
Partitions scanned,,160,42705,1,17550,42705
Partitions scanned,,161,77549,1,31784,77549
Partitions scanned,,162,35505,1,14694,35505
Partitions scanned,,163,22293,1,9192,22293
Partitions scanned,,164,29173,1,12090,29173
Partitions scanned,,165,28542,1,11568,28542
Partitions scanned,,166,1333,1,540,1333
Partitions scanned,,167,57205,1,23446,57205
Partitions scanned,,168,8199,0,3328,8199
Partitions scanned,,169,72947,1,29931,72947
Partitions scanned,,170,70235,1,29149,70235
Partitions scanned,,171,27706,1,11476,27706
Partitions scanned,,172,1581,1,640,1581
