Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Time,s,1,0.24126,0.08163,0.11003,0.15809,0.12932,0.10197,0.1707
Time,s,2,0.08612,0.07918,0.09334,0.12574,0.12163,0.09975,0.11695
Time,s,3,0.06048,0.08228,0.08647,0.09388,0.12715,0.11037,0.09459
Time,s,4,0.06806,0.06616,0.09231,0.09191,0.12589,0.09166,0.09138
Time,s,5,0.08616,0.05984,0.09617,0.10024,0.12068,0.06716,0.09895
Time,s,6,0.10065,0.06183,0.08278,0.10634,0.11159,0.06382,0.09877
Time,s,7,0.10431,0.0549,0.08859,0.11247,0.08913,0.06424,0.10524
Time,s,8,0.09384,0.05103,0.08553,0.10038,0.09445,0.06405,0.09768
Time,s,9,0.08558,0.04764,0.08943,0.09042,0.09738,0.06085,0.09002
Time,s,10,0.10178,0.0462,0.08305,0.10458,0.09123,0.05821,0.10435
Time,s,11,0.09107,0.04549,0.09104,0.09398,0.09406,0.06077,0.0941
Time,s,12,0.09056,0.0439,0.09463,0.0962,0.09371,0.07412,0.09465
Time,s,13,0.10088,0.0446,0.08757,0.11902,0.08783,0.06721,0.10514
Time,s,14,0.10541,0.05092,0.08692,0.11289,0.08665,0.06359,0.11591
Time,s,15,0.09093,0.05632,0.08646,0.09639,0.09244,0.06516,0.09525
Time,s,16,0.12541,0.05277,0.0875,0.10939,0.08787,0.05847,0.11484
Time,s,17,0.12293,0.04919,0.09048,0.11233,0.08844,0.06387,0.11224
Time,s,18,0.10504,0.04779,0.09005,0.11375,0.09373,0.06328,0.10691
Time,s,19,0.08075,0.04654,0.08699,0.099,0.10886,0.05845,0.0855
Time,s,20,0.11105,0.05288,0.08919,0.13204,0.09236,0.05472,0.11875
Time,s,21,0.08646,0.05377,0.09083,0.1038,0.10575,0.06247,0.08874
Time,s,22,0.10735,0.05399,0.08091,0.13323,0.09435,0.05651,0.11078
Time,s,23,0.10189,0.075,0.07704,0.12307,0.09174,0.06201,0.11304
Time,s,24,0.06851,0.07895,0.06493,0.08925,0.09082,0.05281,0.0879
Time,s,25,0.05345,0.07793,0.05132,0.08341,0.06624,0.045,0.08032
Time,s,26,0.09665,0.07749,0.06602,0.10754,0.08326,0.05097,0.11815
Time,s,27,0.11828,0.07851,0.07807,0.1023,0.09376,0.06185,0.12046
Time,s,28,0.08912,0.07377,0.07397,0.0877,0.092,0.06671,0.09291
Time,s,29,0.10182,0.05773,0.07545,0.09707,0.08528,0.05358,0.10439
Time,s,30,0.07553,0.05252,0.05906,0.06173,0.06911,0.06318,0.08476
Time,s,31,0.09064,0.04683,0.07046,0.09394,0.08501,0.05898,0.10349
Time,s,32,0.08898,0.04321,0.07298,0.08662,0.09608,0.05558,0.08811
Time,s,33,0.09351,0.04246,0.07092,0.09598,0.08944,0.05634,0.09483
Time,s,34,0.07398,0.04081,0.06064,0.08233,0.07596,0.05412,0.07119
Time,s,35,0.10574,0.04461,0.07032,0.11575,0.07847,0.05203,0.12437
Time,s,36,0.08783,0.04476,0.07827,0.09288,0.09402,0.05802,0.1017
Time,s,37,0.06794,0.04073,0.07067,0.07058,0.08408,0.04888,0.07815
Time,s,38,0.04328,0.03834,0.0532,0.04435,0.05651,0.04328,0.05338
Time,s,39,0.06926,0.0458,0.05282,0.05756,0.06118,0.04392,0.06475
Time,s,40,0.10943,0.04915,0.07373,0.10405,0.07788,0.05609,0.1055
Time,s,41,0.10954,0.04777,0.07989,0.11941,0.09322,0.06231,0.10352
Time,s,42,0.10696,0.04494,0.07659,0.12664,0.09252,0.06027,0.10843
Time,s,43,0.09509,0.04396,0.07605,0.11581,0.099,0.0622,0.09937
Time,s,44,0.07035,0.04014,0.06383,0.09121,0.10699,0.05174,0.07563
Time,s,45,0.05149,0.04035,0.05213,0.08259,0.11457,0.0434,0.05699
Time,s,46,0.05435,0.03629,0.04824,0.08402,0.11459,0.04241,0.05781
Time,s,47,0.05708,0.0358,0.04694,0.08893,0.10657,0.04305,0.08324
Time,s,48,0.11072,0.04516,0.06847,0.12961,0.08342,0.05633,0.1317
Time,s,49,0.0999,0.04811,0.07597,0.10091,0.08959,0.06914,0.12333
Time,s,50,0.06518,0.04063,0.06064,0.06764,0.08565,0.07278,0.09235
Time,s,51,0.1113,0.04369,0.06777,0.10508,0.08053,0.05926,0.12827
Time,s,52,0.07276,0.0408,0.05907,0.06203,0.08558,0.05727,0.0802
Time,s,53,0.12367,0.0404,0.07845,0.10041,0.08006,0.05662,0.10816
Time,s,54,0.131,0.04399,0.08507,0.11254,0.08251,0.05796,0.12186
Time,s,55,0.07773,0.04287,0.08318,0.07972,0.09626,0.05739,0.08141
Time,s,56,0.10593,0.04358,0.08573,0.11245,0.08348,0.05873,0.11039
Time,s,57,0.11045,0.04838,0.08696,0.1284,0.08614,0.07078,0.12089
Time,s,58,0.0727,0.0518,0.08471,0.08401,0.09579,0.0622,0.08502
Time,s,59,0.10969,0.04865,0.08857,0.11125,0.07834,0.05468,0.1102
Time,s,60,0.09893,0.04953,0.0872,0.1007,0.09047,0.06292,0.10831
Time,s,61,0.06989,0.04153,0.08203,0.07411,0.09528,0.05341,0.07466
Time,s,62,0.10621,0.04226,0.08588,0.10527,0.08547,0.05325,0.10273
Time,s,63,0.08133,0.05235,0.08159,0.10592,0.09332,0.05761,0.08574
Time,s,64,0.09319,0.05063,0.07223,0.10663,0.09773,0.05299,0.09667
Time,s,65,0.11097,0.04576,0.0732,0.13126,0.0931,0.05594,0.11045
Time,s,66,0.09124,0.06488,0.07972,0.1121,0.10299,0.06283,0.09559
