Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,27363,44,44
Partitions scanned,,2,14413,43,43
Partitions scanned,,3,2659,43,43
Partitions scanned,,4,6722,43,43
Partitions scanned,,5,15257,43,43
Partitions scanned,,6,20695,43,43
Partitions scanned,,7,24670,44,44
Partitions scanned,,8,20142,43,43
Partitions scanned,,9,15197,43,43
Partitions scanned,,10,24524,44,44
Partitions scanned,,11,17120,43,43
Partitions scanned,,12,17716,44,44
Partitions scanned,,13,23436,43,43
Partitions scanned,,14,26523,43,43
Partitions scanned,,15,18317,44,44
Partitions scanned,,16,27220,44,44
Partitions scanned,,17,30320,43,43
Partitions scanned,,18,26079,44,44
Partitions scanned,,19,12000,44,44
Partitions scanned,,20,29239,43,43
Partitions scanned,,21,14408,44,44
Partitions scanned,,22,27146,44,44
Partitions scanned,,23,24163,44,44
Partitions scanned,,24,6106,43,43
Partitions scanned,,25,3312,43,43
Partitions scanned,,26,20444,43,43
Partitions scanned,,27,23433,43,43
Partitions scanned,,28,8462,43,43
Partitions scanned,,29,14981,44,44
Partitions scanned,,30,3467,43,43
Partitions scanned,,31,17845,44,44
Partitions scanned,,32,12590,43,43
Partitions scanned,,33,16343,44,44
Partitions scanned,,34,5998,43,43
Partitions scanned,,35,26258,44,44
Partitions scanned,,36,16167,43,43
Partitions scanned,,37,6295,43,43
Partitions scanned,,38,398,43,43
Partitions scanned,,39,5117,43,43
Partitions scanned,,40,26064,43,43
Partitions scanned,,41,23920,43,43
Partitions scanned,,42,26331,43,43
Partitions scanned,,43,20273,43,43
Partitions scanned,,44,7001,43,43
Partitions scanned,,45,2466,44,44
Partitions scanned,,46,3120,43,43
Partitions scanned,,47,4053,43,43
Partitions scanned,,48,29649,43,43
Partitions scanned,,49,22559,43,43
Partitions scanned,,50,4459,43,43
Partitions scanned,,51,26781,43,43
Partitions scanned,,52,1312,43,43
Partitions scanned,,53,23022,43,43
Partitions scanned,,54,29250,44,44
Partitions scanned,,55,8609,44,44
Partitions scanned,,56,27375,43,43
Partitions scanned,,57,29159,44,44
Partitions scanned,,58,7098,44,44
Partitions scanned,,59,28277,43,43
Partitions scanned,,60,21946,44,44
Partitions scanned,,61,6258,44,44
Partitions scanned,,62,23126,43,43
Partitions scanned,,63,12154,43,43
Partitions scanned,,64,19334,44,44
Partitions scanned,,65,27575,43,43
Partitions scanned,,66,18085,43,43
Partitions scanned,,67,30378,43,43
Partitions scanned,,68,26467,43,43
Partitions scanned,,69,27639,43,43
Partitions scanned,,70,3297,44,44
Partitions scanned,,71,25263,44,44
Partitions scanned,,72,9455,43,43
Partitions scanned,,73,12724,43,43
Partitions scanned,,74,12695,44,44
Partitions scanned,,75,19297,44,44
Partitions scanned,,76,20699,43,43
Partitions scanned,,77,28563,43,43
Partitions scanned,,78,8855,43,43
Partitions scanned,,79,356,43,43
Partitions scanned,,80,12652,44,44
Partitions scanned,,81,8592,43,43
Partitions scanned,,82,6316,43,43
Partitions scanned,,83,20610,44,44
Partitions scanned,,84,16477,43,43
Partitions scanned,,85,15333,43,43
Partitions scanned,,86,8767,43,43
Partitions scanned,,87,21179,43,43
Partitions scanned,,88,25757,43,43
Partitions scanned,,89,15314,43,43
Partitions scanned,,90,2544,44,44
Partitions scanned,,91,26897,44,44
Partitions scanned,,92,15211,43,43
Partitions scanned,,93,15353,44,44
Partitions scanned,,94,20493,44,44
Partitions scanned,,95,16150,44,44
Partitions scanned,,96,24890,43,43
Partitions scanned,,97,17867,43,43
Partitions scanned,,98,20492,43,43
Partitions scanned,,99,17589,44,44
Partitions scanned,,100,15679,44,44
Partitions scanned,,101,1671,43,43
Partitions scanned,,102,4160,43,43
Partitions scanned,,103,14810,43,43
Partitions scanned,,104,29479,44,44
Partitions scanned,,105,18109,44,44
Partitions scanned,,106,30204,44,44
Partitions scanned,,107,29312,43,43
Partitions scanned,,108,12769,44,44
Partitions scanned,,109,14609,44,44
Partitions scanned,,110,27826,43,43
Partitions scanned,,111,15898,44,44
Partitions scanned,,112,24838,43,43
Partitions scanned,,113,14814,43,43
Partitions scanned,,114,22563,43,43
Partitions scanned,,115,14556,44,44
Partitions scanned,,116,2704,44,44
Partitions scanned,,117,15353,43,43
Partitions scanned,,118,22692,43,43
Partitions scanned,,119,9496,43,43
Partitions scanned,,120,25527,43,43
Partitions scanned,,121,14375,43,43
Partitions scanned,,122,28718,44,44
Partitions scanned,,123,3863,44,44
Partitions scanned,,124,17171,44,44
Partitions scanned,,125,12857,44,44
Partitions scanned,,126,7401,43,43
Partitions scanned,,127,10719,43,43
Partitions scanned,,128,26226,44,44
Partitions scanned,,129,24541,43,43
Partitions scanned,,130,23029,44,44
Partitions scanned,,131,17452,44,44
Partitions scanned,,132,11711,43,43
Partitions scanned,,133,1259,44,44
Partitions scanned,,134,9687,43,43
Partitions scanned,,135,9324,43,43
Partitions scanned,,136,11796,43,43
Partitions scanned,,137,22566,43,43
Partitions scanned,,138,677,43,43
Partitions scanned,,139,16460,43,43
Partitions scanned,,140,5993,43,43
Partitions scanned,,141,13892,43,43
Partitions scanned,,142,29419,44,44
Partitions scanned,,143,6568,43,43
Partitions scanned,,144,26614,43,43
Partitions scanned,,145,1461,43,43
Partitions scanned,,146,8741,44,44
Partitions scanned,,147,591,44,44
Partitions scanned,,148,18339,44,44
Partitions scanned,,149,21039,44,44
Partitions scanned,,150,22162,43,43
Partitions scanned,,151,29936,44,44
Partitions scanned,,152,15127,43,43
Partitions scanned,,153,23152,43,43
Partitions scanned,,154,4395,43,43
Partitions scanned,,155,1937,44,44
Partitions scanned,,156,7728,44,44
Partitions scanned,,157,6244,44,44
Partitions scanned,,158,11920,44,44
Partitions scanned,,159,16145,44,44
Partitions scanned,,160,13076,44,44
Partitions scanned,,161,23709,43,43
Partitions scanned,,162,10878,43,43
Partitions scanned,,163,6846,43,43
Partitions scanned,,164,8946,44,44
Partitions scanned,,165,8753,43,43
Partitions scanned,,166,450,44,44
Partitions scanned,,167,17500,43,43
Partitions scanned,,168,2545,43,43
Partitions scanned,,169,22305,44,44
Partitions scanned,,170,21477,44,44
Partitions scanned,,171,8498,43,43
Partitions scanned,,172,525,43,43
Partitions scanned,,173,6632,44,44
Partitions scanned,,174,24894,44,44
Partitions scanned,,175,14886,43,43
Partitions scanned,,176,12488,43,43
Partitions scanned,,177,10816,44,44
Partitions scanned,,178,2982,44,44
Partitions scanned,,179,8571,43,43
Partitions scanned,,180,485,43,43
Partitions scanned,,181,12061,43,43
Partitions scanned,,182,26914,44,44
Partitions scanned,,183,13940,44,44
Partitions scanned,,184,9389,44,44
Partitions scanned,,185,12358,43,43
Partitions scanned,,186,27162,43,43
Partitions scanned,,187,9395,43,43
Partitions scanned,,188,23157,43,43
Partitions scanned,,189,16520,44,44
Partitions scanned,,190,22752,43,43
Partitions scanned,,191,13638,43,43
Partitions scanned,,192,4431,43,43
Partitions scanned,,193,12738,44,44
