Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,27321,2,2
Partitions scanned,,2,14372,2,2
Partitions scanned,,3,2618,2,2
Partitions scanned,,4,6680,1,1
Partitions scanned,,5,15216,2,2
Partitions scanned,,6,20654,2,2
Partitions scanned,,7,24628,2,2
Partitions scanned,,8,20101,2,2
Partitions scanned,,9,15155,1,1
Partitions scanned,,10,24482,2,2
Partitions scanned,,11,17079,2,2
Partitions scanned,,12,17674,2,2
Partitions scanned,,13,23395,2,2
Partitions scanned,,14,26482,2,2
Partitions scanned,,15,18275,2,2
Partitions scanned,,16,27178,2,2
Partitions scanned,,17,30278,1,1
Partitions scanned,,18,26037,2,2
Partitions scanned,,19,11958,2,2
Partitions scanned,,20,29198,2,2
Partitions scanned,,21,14366,2,2
Partitions scanned,,22,27104,2,2
Partitions scanned,,23,24121,2,2
Partitions scanned,,24,6065,2,2
Partitions scanned,,25,3270,1,1
Partitions scanned,,26,20403,2,2
Partitions scanned,,27,23392,2,2
Partitions scanned,,28,8421,2,2
Partitions scanned,,29,14939,2,2
Partitions scanned,,30,3425,1,1
Partitions scanned,,31,17803,2,2
Partitions scanned,,32,12548,1,1
Partitions scanned,,33,16301,2,2
Partitions scanned,,34,5957,2,2
Partitions scanned,,35,26216,2,2
Partitions scanned,,36,16126,2,2
Partitions scanned,,37,6253,1,1
Partitions scanned,,38,356,1,1
Partitions scanned,,39,5075,1,1
Partitions scanned,,40,26022,1,1
Partitions scanned,,41,23878,1,1
Partitions scanned,,42,26290,2,2
Partitions scanned,,43,20231,1,1
Partitions scanned,,44,6959,1,1
Partitions scanned,,45,2424,2,2
Partitions scanned,,46,3079,2,2
Partitions scanned,,47,4011,1,1
Partitions scanned,,48,29607,1,1
Partitions scanned,,49,22518,2,2
Partitions scanned,,50,4418,2,2
Partitions scanned,,51,26739,1,1
Partitions scanned,,52,1270,1,1
Partitions scanned,,53,22981,2,2
Partitions scanned,,54,29208,2,2
Partitions scanned,,55,8567,2,2
Partitions scanned,,56,27334,2,2
Partitions scanned,,57,29117,2,2
Partitions scanned,,58,7056,2,2
Partitions scanned,,59,28236,2,2
Partitions scanned,,60,21904,2,2
Partitions scanned,,61,6216,2,2
Partitions scanned,,62,23085,2,2
Partitions scanned,,63,12113,2,2
Partitions scanned,,64,19292,2,2
Partitions scanned,,65,27534,2,2
Partitions scanned,,66,18043,1,1
