Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,27320,27320,27320
Partitions scanned,,2,14371,14371,14371
Partitions scanned,,3,2617,2617,2617
Partitions scanned,,4,6680,6680,6680
Partitions scanned,,5,15215,15215,15215
Partitions scanned,,6,20653,20653,20653
Partitions scanned,,7,24627,24627,24627
Partitions scanned,,8,20100,20100,20100
Partitions scanned,,9,15155,15155,15155
Partitions scanned,,10,24481,24481,24481
Partitions scanned,,11,17078,17078,17078
Partitions scanned,,12,17673,17673,17673
Partitions scanned,,13,23394,23394,23394
Partitions scanned,,14,26481,26481,26481
Partitions scanned,,15,18274,18274,18274
Partitions scanned,,16,27177,27177,27177
Partitions scanned,,17,30278,30278,30278
Partitions scanned,,18,26036,26036,26036
Partitions scanned,,19,11957,11957,11957
Partitions scanned,,20,29197,29197,29197
Partitions scanned,,21,14365,14365,14365
Partitions scanned,,22,27103,27103,27103
Partitions scanned,,23,24120,24120,24120
Partitions scanned,,24,6064,6064,6064
Partitions scanned,,25,3270,3270,3270
Partitions scanned,,26,20402,20402,20402
Partitions scanned,,27,23391,23391,23391
Partitions scanned,,28,8420,8420,8420
Partitions scanned,,29,14938,14938,14938
Partitions scanned,,30,3425,3425,3425
Partitions scanned,,31,17802,17802,17802
Partitions scanned,,32,12548,12548,12548
Partitions scanned,,33,16300,16300,16300
Partitions scanned,,34,5956,5956,5956
Partitions scanned,,35,26215,26215,26215
Partitions scanned,,36,16125,16125,16125
Partitions scanned,,37,6253,6253,6253
Partitions scanned,,38,356,356,356
Partitions scanned,,39,5075,5075,5075
Partitions scanned,,40,26022,26022,26022
Partitions scanned,,41,23878,23878,23878
Partitions scanned,,42,26289,26289,26289
Partitions scanned,,43,20231,20231,20231
Partitions scanned,,44,6959,6959,6959
Partitions scanned,,45,2423,2423,2423
Partitions scanned,,46,3078,3078,3078
Partitions scanned,,47,4011,4011,4011
Partitions scanned,,48,29607,29607,29607
Partitions scanned,,49,22517,22517,22517
Partitions scanned,,50,4417,4417,4417
Partitions scanned,,51,26739,26739,26739
Partitions scanned,,52,1270,1270,1270
Partitions scanned,,53,22980,22980,22980
Partitions scanned,,54,29207,29207,29207
Partitions scanned,,55,8566,8566,8566
Partitions scanned,,56,27333,27333,27333
Partitions scanned,,57,29116,29116,29116
Partitions scanned,,58,7055,7055,7055
Partitions scanned,,59,28235,28235,28235
Partitions scanned,,60,21903,21903,21903
Partitions scanned,,61,6215,6215,6215
Partitions scanned,,62,23084,23084,23084
Partitions scanned,,63,12112,12112,12112
Partitions scanned,,64,19291,19291,19291
Partitions scanned,,65,27533,27533,27533
Partitions scanned,,66,18043,18043,18043
Partitions scanned,,67,30336,30336,30336
Partitions scanned,,68,26425,26425,26425
Partitions scanned,,69,27597,27597,27597
Partitions scanned,,70,3254,3254,3254
Partitions scanned,,71,25220,25220,25220
Partitions scanned,,72,9413,9413,9413
Partitions scanned,,73,12682,12682,12682
Partitions scanned,,74,12652,12652,12652
Partitions scanned,,75,19254,19254,19254
Partitions scanned,,76,20657,20657,20657
Partitions scanned,,77,28521,28521,28521
Partitions scanned,,78,8813,8813,8813
Partitions scanned,,79,314,314,314
Partitions scanned,,80,12609,12609,12609
Partitions scanned,,81,8550,8550,8550
Partitions scanned,,82,6274,6274,6274
Partitions scanned,,83,20567,20567,20567
Partitions scanned,,84,16435,16435,16435
Partitions scanned,,85,15291,15291,15291
Partitions scanned,,86,8725,8725,8725
Partitions scanned,,87,21137,21137,21137
Partitions scanned,,88,25715,25715,25715
Partitions scanned,,89,15272,15272,15272
Partitions scanned,,90,2501,2501,2501
Partitions scanned,,91,26854,26854,26854
Partitions scanned,,92,15169,15169,15169
Partitions scanned,,93,15310,15310,15310
Partitions scanned,,94,20450,20450,20450
Partitions scanned,,95,16107,16107,16107
Partitions scanned,,96,24848,24848,24848
Partitions scanned,,97,17825,17825,17825
Partitions scanned,,98,20450,20450,20450
Partitions scanned,,99,17546,17546,17546
Partitions scanned,,100,15636,15636,15636
Partitions scanned,,101,1629,1629,1629
Partitions scanned,,102,4118,4118,4118
Partitions scanned,,103,14768,14768,14768
Partitions scanned,,104,29436,29436,29436
Partitions scanned,,105,18066,18066,18066
Partitions scanned,,106,30161,30161,30161
Partitions scanned,,107,29270,29270,29270
Partitions scanned,,108,12726,12726,12726
Partitions scanned,,109,14566,14566,14566
Partitions scanned,,110,27784,27784,27784
Partitions scanned,,111,15855,15855,15855
Partitions scanned,,112,24796,24796,24796
Partitions scanned,,113,14772,14772,14772
Partitions scanned,,114,22521,22521,22521
Partitions scanned,,115,14513,14513,14513
Partitions scanned,,116,2661,2661,2661
Partitions scanned,,117,15311,15311,15311
Partitions scanned,,118,22650,22650,22650
Partitions scanned,,119,9454,9454,9454
Partitions scanned,,120,25485,25485,25485
Partitions scanned,,121,14333,14333,14333
Partitions scanned,,122,28675,28675,28675
Partitions scanned,,123,3820,3820,3820
Partitions scanned,,124,17128,17128,17128
Partitions scanned,,125,12814,12814,12814
Partitions scanned,,126,7359,7359,7359
Partitions scanned,,127,10677,10677,10677
Partitions scanned,,128,26183,26183,26183
Partitions scanned,,129,24499,24499,24499
Partitions scanned,,130,22986,22986,22986
Partitions scanned,,131,17409,17409,17409
Partitions scanned,,132,11669,11669,11669
Partitions scanned,,133,1216,1216,1216
Partitions scanned,,134,9645,9645,9645
Partitions scanned,,135,9282,9282,9282
Partitions scanned,,136,11754,11754,11754
Partitions scanned,,137,22524,22524,22524
Partitions scanned,,138,635,635,635
Partitions scanned,,139,16418,16418,16418
Partitions scanned,,140,5951,5951,5951
Partitions scanned,,141,13850,13850,13850
Partitions scanned,,142,29376,29376,29376
Partitions scanned,,143,6526,6526,6526
Partitions scanned,,144,26572,26572,26572
Partitions scanned,,145,1419,1419,1419
Partitions scanned,,146,8698,8698,8698
Partitions scanned,,147,548,548,548
Partitions scanned,,148,18296,18296,18296
Partitions scanned,,149,20996,20996,20996
Partitions scanned,,150,22120,22120,22120
Partitions scanned,,151,29893,29893,29893
Partitions scanned,,152,15085,15085,15085
Partitions scanned,,153,23110,23110,23110
Partitions scanned,,154,4353,4353,4353
Partitions scanned,,155,1894,1894,1894
Partitions scanned,,156,7685,7685,7685
Partitions scanned,,157,6201,6201,6201
Partitions scanned,,158,11877,11877,11877
Partitions scanned,,159,16102,16102,16102
Partitions scanned,,160,13033,13033,13033
Partitions scanned,,161,23667,23667,23667
Partitions scanned,,162,10836,10836,10836
Partitions scanned,,163,6804,6804,6804
Partitions scanned,,164,8903,8903,8903
Partitions scanned,,165,8711,8711,8711
Partitions scanned,,166,407,407,407
Partitions scanned,,167,17458,17458,17458
Partitions scanned,,168,2503,2503,2503
Partitions scanned,,169,22262,22262,22262
Partitions scanned,,170,21434,21434,21434
Partitions scanned,,171,8456,8456,8456
Partitions scanned,,172,483,483,483
Partitions scanned,,173,6589,6589,6589
Partitions scanned,,174,24851,24851,24851
Partitions scanned,,175,14844,14844,14844
Partitions scanned,,176,12446,12446,12446
Partitions scanned,,177,10773,10773,10773
Partitions scanned,,178,2939,2939,2939
Partitions scanned,,179,8529,8529,8529
Partitions scanned,,180,443,443,443
