Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,0,0,0,0
Partitions scanned,,2,0,0,0,0
Partitions scanned,,3,0,0,0,0
Partitions scanned,,4,0,0,0,0
Partitions scanned,,5,0,0,0,0
Partitions scanned,,6,0,0,0,0
Partitions scanned,,7,0,0,0,0
Partitions scanned,,8,0,0,0,0
Partitions scanned,,9,0,0,0,0
Partitions scanned,,10,0,0,0,0
Partitions scanned,,11,0,0,0,0
Partitions scanned,,12,0,0,0,0
Partitions scanned,,13,0,0,0,0
Partitions scanned,,14,0,0,0,0
Partitions scanned,,15,0,0,0,0
Partitions scanned,,16,0,0,0,0
Partitions scanned,,17,0,0,0,0
Partitions scanned,,18,0,0,0,0
Partitions scanned,,19,0,0,0,0
Partitions scanned,,20,0,0,0,0
Partitions scanned,,21,0,0,0,0
Partitions scanned,,22,0,0,0,0
Partitions scanned,,23,0,0,0,0
Partitions scanned,,24,0,0,0,0
Partitions scanned,,25,0,0,0,0
Partitions scanned,,26,0,0,0,0
Partitions scanned,,27,0,0,0,0
Partitions scanned,,28,0,0,0,0
Partitions scanned,,29,0,0,0,0
Partitions scanned,,30,0,0,0,0
Partitions scanned,,31,0,0,0,0
Partitions scanned,,32,0,0,0,0
Partitions scanned,,33,0,0,0,0
Partitions scanned,,34,0,0,0,0
Partitions scanned,,35,0,0,0,0
Partitions scanned,,36,0,0,0,0
Partitions scanned,,37,0,0,0,0
Partitions scanned,,38,0,0,0,0
Partitions scanned,,39,0,0,0,0
Partitions scanned,,40,0,0,0,0
Partitions scanned,,41,0,0,0,0
Partitions scanned,,42,0,0,0,0
Partitions scanned,,43,0,0,0,0
Partitions scanned,,44,0,0,0,0
Partitions scanned,,45,0,0,0,0
Partitions scanned,,46,0,0,0,0
Partitions scanned,,47,0,0,0,0
Partitions scanned,,48,0,0,0,0
Partitions scanned,,49,0,0,0,0
Partitions scanned,,50,0,0,0,0
Partitions scanned,,51,0,0,0,0
Partitions scanned,,52,0,0,0,0
Partitions scanned,,53,0,0,0,0
Partitions scanned,,54,0,0,0,0
Partitions scanned,,55,0,0,0,0
Partitions scanned,,56,0,0,0,0
Partitions scanned,,57,0,0,0,0
Partitions scanned,,58,0,0,0,0
Partitions scanned,,59,0,0,0,0
Partitions scanned,,60,0,0,0,0
Partitions scanned,,61,0,0,0,0
Partitions scanned,,62,0,0,0,0
Partitions scanned,,63,0,0,0,0
Partitions scanned,,64,0,0,0,0
Partitions scanned,,65,0,0,0,0
Partitions scanned,,66,0,0,0,0
