Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Time,s,1,0.07632,0.07957,0.11555,0.10626,0.14959,0.07573,0.12168
Time,s,2,0.04495,0.05265,0.09206,0.0822,0.12661,0.05461,0.11123
Time,s,3,0.03963,0.04781,0.09897,0.08845,0.13392,0.05318,0.09962
Time,s,4,0.03997,0.04081,0.09241,0.08457,0.1251,0.07022,0.08778
Time,s,5,0.0454,0.05127,0.08295,0.08674,0.123,0.06315,0.07667
Time,s,6,0.03942,0.05325,0.07294,0.0727,0.09906,0.04998,0.06868
Time,s,7,0.0367,0.04348,0.06524,0.0769,0.05769,0.044,0.06616
Time,s,8,0.03242,0.03902,0.04836,0.07424,0.0502,0.04253,0.07267
Time,s,9,0.03173,0.03618,0.04095,0.06086,0.04662,0.04208,0.07637
Time,s,10,0.03135,0.03535,0.04008,0.04667,0.06555,0.04253,0.07046
Time,s,11,0.0311,0.05116,0.03691,0.03829,0.06774,0.04537,0.05092
Time,s,12,0.03203,0.04281,0.03508,0.03409,0.05267,0.04857,0.04051
Time,s,13,0.03284,0.03757,0.03466,0.03275,0.04548,0.04173,0.0347
Time,s,14,0.03126,0.04478,0.03579,0.03238,0.04369,0.04215,0.0331
Time,s,15,0.03193,0.06328,0.06077,0.03297,0.04356,0.04423,0.03245
Time,s,16,0.03102,0.0637,0.04952,0.03298,0.04469,0.04488,0.03261
Time,s,17,0.03105,0.06244,0.0401,0.03301,0.05923,0.04138,0.03216
Time,s,18,0.03162,0.06432,0.03724,0.03274,0.07076,0.04259,0.03216
Time,s,19,0.03069,0.06418,0.03533,0.03233,0.05202,0.04082,0.03247
Time,s,20,0.03034,0.06862,0.03499,0.03255,0.05744,0.03998,0.03346
Time,s,21,0.03052,0.07052,0.03419,0.03325,0.09549,0.04102,0.03295
Time,s,22,0.03343,0.0659,0.03374,0.03238,0.10421,0.0411,0.03227
Time,s,23,0.03071,0.0643,0.03549,0.03236,0.11248,0.04047,0.03218
Time,s,24,0.03042,0.06505,0.03742,0.03353,0.10571,0.04325,0.03421
Time,s,25,0.03042,0.06035,0.04449,0.03661,0.11429,0.04113,0.044
Time,s,26,0.03075,0.0443,0.04083,0.03337,0.11327,0.04838,0.04376
Time,s,27,0.03297,0.03802,0.03687,0.03224,0.10771,0.04573,0.04107
Time,s,28,0.03287,0.03531,0.03548,0.032,0.07392,0.06292,0.03478
Time,s,29,0.03113,0.03411,0.03599,0.0321,0.05368,0.05138,0.03354
Time,s,30,0.03083,0.03384,0.03551,0.03211,0.04615,0.04279,0.03556
Time,s,31,0.02996,0.03985,0.03727,0.03296,0.04509,0.04048,0.03353
Time,s,32,0.03016,0.04611,0.03892,0.04851,0.04466,0.04418,0.03302
Time,s,33,0.04314,0.03887,0.03633,0.04621,0.04323,0.05107,0.03223
Time,s,34,0.05504,0.03612,0.03682,0.04089,0.04201,0.04341,0.0331
Time,s,35,0.0448,0.03422,0.03804,0.05079,0.04233,0.03982,0.0349
Time,s,36,0.03919,0.0334,0.03596,0.04499,0.04274,0.08368,0.03425
Time,s,37,0.03848,0.03333,0.03625,0.03551,0.04444,0.0864,0.03347
Time,s,38,0.03396,0.03328,0.0374,0.03328,0.06216,0.05277,0.03386
Time,s,39,0.03308,0.0342,0.04369,0.03227,0.06141,0.04307,0.03429
Time,s,40,0.03091,0.03412,0.0512,0.03417,0.04929,0.04111,0.03327
Time,s,41,0.02981,0.03353,0.04715,0.03276,0.04496,0.04051,0.03689
Time,s,42,0.03138,0.03411,0.05582,0.03186,0.04294,0.03999,0.03398
Time,s,43,0.03212,0.03349,0.06861,0.03208,0.05111,0.04013,0.03369
Time,s,44,0.03083,0.03443,0.07371,0.03268,0.04569,0.04076,0.03236
Time,s,45,0.02985,0.03531,0.07044,0.03185,0.04243,0.04231,0.03882
Time,s,46,0.02994,0.03549,0.06856,0.03224,0.04232,0.04221,0.04769
Time,s,47,0.03019,0.03489,0.06735,0.03228,0.04714,0.04314,0.04191
Time,s,48,0.03059,0.03397,0.06488,0.03213,0.04308,0.04066,0.04759
Time,s,49,0.03005,0.03528,0.06568,0.03395,0.0424,0.04209,0.07205
Time,s,50,0.02955,0.03699,0.07032,0.03522,0.04327,0.06125,0.07343
Time,s,51,0.02975,0.03437,0.07037,0.03874,0.04373,0.05686,0.06761
Time,s,52,0.03069,0.03431,0.07099,0.03268,0.05682,0.04343,0.06938
Time,s,53,0.04273,0.03643,0.06747,0.03283,0.06415,0.04064,0.06478
Time,s,54,0.04791,0.03536,0.06377,0.03204,0.06378,0.03947,0.06529
Time,s,55,0.05189,0.04565,0.06121,0.0329,0.07678,0.03988,0.06604
Time,s,56,0.04728,0.04434,0.06788,0.03374,0.10645,0.03986,0.06415
Time,s,57,0.04578,0.03669,0.07328,0.05199,0.11105,0.04042,0.0615
Time,s,58,0.04334,0.03381,0.06423,0.06225,0.11221,0.04112,0.06744
Time,s,59,0.04261,0.03401,0.04872,0.0646,0.11196,0.044,0.06427
Time,s,60,0.04721,0.03373,0.04008,0.06419,0.1117,0.0428,0.06392
Time,s,61,0.04722,0.03735,0.03829,0.06731,0.08269,0.04094,0.06344
Time,s,62,0.04883,0.04568,0.03568,0.07302,0.05485,0.04583,0.0445
Time,s,63,0.04379,0.04128,0.0366,0.07028,0.04624,0.0513,0.03624
Time,s,64,0.05027,0.04348,0.03612,0.06369,0.04444,0.04215,0.03303
Time,s,65,0.05731,0.06431,0.03581,0.06522,0.04408,0.0413,0.03237
Time,s,66,0.0508,0.06663,0.03543,0.06536,0.0455,0.04049,0.03215
Time,s,67,0.05366,0.07703,0.03685,0.05922,0.04317,0.04576,0.03337
Time,s,68,0.05263,0.0763,0.0361,0.06417,0.04156,0.05059,0.03403
Time,s,69,0.04949,0.07104,0.03543,0.06444,0.04245,0.04894,0.03258
Time,s,70,0.04159,0.06376,0.0354,0.0645,0.04316,0.04192,0.03269
Time,s,71,0.03542,0.04899,0.03674,0.06522,0.04396,0.03974,0.03247
Time,s,72,0.0321,0.03972,0.0375,0.06491,0.04551,0.03906,0.03225
Time,s,73,0.03051,0.03669,0.03747,0.06613,0.04246,0.03937,0.03524
Time,s,74,0.03116,0.03565,0.03688,0.06208,0.04138,0.04718,0.04491
Time,s,75,0.03219,0.0349,0.03878,0.04857,0.05071,0.08728,0.03959
Time,s,76,0.0373,0.03504,0.03571,0.03938,0.06629,0.06046,0.03594
Time,s,77,0.03164,0.03346,0.03559,0.03346,0.05178,0.04384,0.03348
