Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,44,44,44
Partitions scanned,,2,43,43,43
Partitions scanned,,3,43,43,43
Partitions scanned,,4,43,43,43
Partitions scanned,,5,44,44,44
Partitions scanned,,6,43,43,43
Partitions scanned,,7,43,43,43
Partitions scanned,,8,43,43,43
Partitions scanned,,9,44,44,44
Partitions scanned,,10,43,43,43
Partitions scanned,,11,44,44,44
Partitions scanned,,12,44,44,44
Partitions scanned,,13,43,43,43
Partitions scanned,,14,44,44,44
Partitions scanned,,15,43,43,43
Partitions scanned,,16,43,43,43
Partitions scanned,,17,43,43,43
Partitions scanned,,18,43,43,43
Partitions scanned,,19,43,43,43
Partitions scanned,,20,44,44,44
Partitions scanned,,21,43,43,43
Partitions scanned,,22,43,43,43
Partitions scanned,,23,43,43,43
Partitions scanned,,24,44,44,44
Partitions scanned,,25,44,44,44
Partitions scanned,,26,43,43,43
Partitions scanned,,27,43,43,43
Partitions scanned,,28,44,44,44
Partitions scanned,,29,43,43,43
Partitions scanned,,30,44,44,44
Partitions scanned,,31,44,44,44
Partitions scanned,,32,44,44,44
Partitions scanned,,33,43,43,43
Partitions scanned,,34,44,44,44
Partitions scanned,,35,43,43,43
Partitions scanned,,36,44,44,44
Partitions scanned,,37,43,43,43
Partitions scanned,,38,43,43,43
Partitions scanned,,39,43,43,43
Partitions scanned,,40,43,43,43
Partitions scanned,,41,44,44,44
Partitions scanned,,42,44,44,44
Partitions scanned,,43,43,43,43
Partitions scanned,,44,43,43,43
Partitions scanned,,45,43,43,43
Partitions scanned,,46,43,43,43
Partitions scanned,,47,44,44,44
Partitions scanned,,48,43,43,43
Partitions scanned,,49,43,43,43
Partitions scanned,,50,43,43,43
Partitions scanned,,51,43,43,43
Partitions scanned,,52,43,43,43
Partitions scanned,,53,43,43,43
Partitions scanned,,54,44,44,44
Partitions scanned,,55,43,43,43
Partitions scanned,,56,44,44,44
Partitions scanned,,57,44,44,44
Partitions scanned,,58,44,44,44
Partitions scanned,,59,44,44,44
Partitions scanned,,60,44,44,44
Partitions scanned,,61,43,43,43
Partitions scanned,,62,43,43,43
Partitions scanned,,63,43,43,43
Partitions scanned,,64,44,44,44
Partitions scanned,,65,44,44,44
Partitions scanned,,66,43,43,43
Partitions scanned,,67,43,43,43
Partitions scanned,,68,44,44,44
Partitions scanned,,69,44,44,44
Partitions scanned,,70,43,43,43
Partitions scanned,,71,43,43,43
Partitions scanned,,72,43,43,43
Partitions scanned,,73,43,43,43
Partitions scanned,,74,43,43,43
Partitions scanned,,75,44,44,44
Partitions scanned,,76,43,43,43
Partitions scanned,,77,44,44,44
Partitions scanned,,78,43,43,43
Partitions scanned,,79,43,43,43
Partitions scanned,,80,43,43,43
Partitions scanned,,81,43,43,43
Partitions scanned,,82,44,44,44
Partitions scanned,,83,44,44,44
Partitions scanned,,84,44,44,44
Partitions scanned,,85,43,43,43
Partitions scanned,,86,43,43,43
Partitions scanned,,87,43,43,43
Partitions scanned,,88,43,43,43
Partitions scanned,,89,43,43,43
Partitions scanned,,90,43,43,43
Partitions scanned,,91,44,44,44
Partitions scanned,,92,44,44,44
Partitions scanned,,93,43,43,43
Partitions scanned,,94,44,44,44
Partitions scanned,,95,43,43,43
Partitions scanned,,96,44,44,44
Partitions scanned,,97,43,43,43
Partitions scanned,,98,43,43,43
Partitions scanned,,99,43,43,43
Partitions scanned,,100,43,43,43
Partitions scanned,,101,43,43,43
Partitions scanned,,102,44,44,44
Partitions scanned,,103,44,44,44
Partitions scanned,,104,44,44,44
Partitions scanned,,105,44,44,44
Partitions scanned,,106,44,44,44
Partitions scanned,,107,43,43,43
Partitions scanned,,108,43,43,43
Partitions scanned,,109,43,43,43
Partitions scanned,,110,43,43,43
Partitions scanned,,111,43,43,43
Partitions scanned,,112,44,44,44
Partitions scanned,,113,44,44,44
Partitions scanned,,114,43,43,43
Partitions scanned,,115,43,43,43
Partitions scanned,,116,43,43,43
Partitions scanned,,117,44,44,44
Partitions scanned,,118,44,44,44
Partitions scanned,,119,43,43,43
Partitions scanned,,120,43,43,43
Partitions scanned,,121,43,43,43
Partitions scanned,,122,44,44,44
Partitions scanned,,123,43,43,43
Partitions scanned,,124,43,43,43
Partitions scanned,,125,44,44,44
Partitions scanned,,126,44,44,44
Partitions scanned,,127,43,43,43
Partitions scanned,,128,43,43,43
Partitions scanned,,129,44,44,44
Partitions scanned,,130,44,44,44
Partitions scanned,,131,43,43,43
Partitions scanned,,132,44,44,44
Partitions scanned,,133,44,44,44
Partitions scanned,,134,43,43,43
Partitions scanned,,135,44,44,44
Partitions scanned,,136,43,43,43
Partitions scanned,,137,43,43,43
Partitions scanned,,138,44,44,44
Partitions scanned,,139,44,44,44
