Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,2,2,2
Partitions scanned,,2,1,1,1
Partitions scanned,,3,1,1,1
Partitions scanned,,4,2,2,2
Partitions scanned,,5,2,2,2
Partitions scanned,,6,2,2,2
Partitions scanned,,7,1,1,1
Partitions scanned,,8,2,2,2
Partitions scanned,,9,2,2,2
Partitions scanned,,10,2,2,2
Partitions scanned,,11,2,2,2
Partitions scanned,,12,2,2,2
Partitions scanned,,13,1,1,1
Partitions scanned,,14,2,2,2
Partitions scanned,,15,1,1,1
Partitions scanned,,16,1,1,1
Partitions scanned,,17,1,1,1
Partitions scanned,,18,1,1,1
Partitions scanned,,19,2,2,2
Partitions scanned,,20,2,2,2
Partitions scanned,,21,2,2,2
Partitions scanned,,22,1,1,1
Partitions scanned,,23,2,2,2
Partitions scanned,,24,2,2,2
Partitions scanned,,25,2,2,2
Partitions scanned,,26,1,1,1
Partitions scanned,,27,1,1,1
Partitions scanned,,28,2,2,2
Partitions scanned,,29,1,1,1
Partitions scanned,,30,2,2,2
Partitions scanned,,31,2,2,2
Partitions scanned,,32,2,2,2
Partitions scanned,,33,2,2,2
Partitions scanned,,34,2,2,2
Partitions scanned,,35,1,1,1
Partitions scanned,,36,2,2,2
Partitions scanned,,37,2,2,2
Partitions scanned,,38,1,1,1
Partitions scanned,,39,2,2,2
Partitions scanned,,40,2,2,2
Partitions scanned,,41,2,2,2
Partitions scanned,,42,2,2,2
Partitions scanned,,43,1,1,1
Partitions scanned,,44,2,2,2
Partitions scanned,,45,2,2,2
Partitions scanned,,46,1,1,1
Partitions scanned,,47,2,2,2
Partitions scanned,,48,1,1,1
Partitions scanned,,49,1,1,1
Partitions scanned,,50,1,1,1
Partitions scanned,,51,2,2,2
Partitions scanned,,52,1,1,1
Partitions scanned,,53,1,1,1
Partitions scanned,,54,2,2,2
Partitions scanned,,55,1,1,1
Partitions scanned,,56,2,2,2
Partitions scanned,,57,2,2,2
Partitions scanned,,58,2,2,2
Partitions scanned,,59,2,2,2
Partitions scanned,,60,2,2,2
Partitions scanned,,61,1,1,1
Partitions scanned,,62,2,2,2
Partitions scanned,,63,2,2,2
Partitions scanned,,64,2,2,2
Partitions scanned,,65,2,2,2
Partitions scanned,,66,2,2,2
Partitions scanned,,67,2,2,2
Partitions scanned,,68,2,2,2
Partitions scanned,,69,2,2,2
Partitions scanned,,70,1,1,1
Partitions scanned,,71,1,1,1
Partitions scanned,,72,2,2,2
Partitions scanned,,73,1,1,1
Partitions scanned,,74,2,2,2
Partitions scanned,,75,2,2,2
Partitions scanned,,76,2,2,2
Partitions scanned,,77,2,2,2
Partitions scanned,,78,2,2,2
Partitions scanned,,79,1,1,1
Partitions scanned,,80,2,2,2
Partitions scanned,,81,2,2,2
Partitions scanned,,82,2,2,2
Partitions scanned,,83,2,2,2
Partitions scanned,,84,2,2,2
Partitions scanned,,85,2,2,2
Partitions scanned,,86,2,2,2
Partitions scanned,,87,2,2,2
Partitions scanned,,88,2,2,2
Partitions scanned,,89,2,2,2
Partitions scanned,,90,2,2,2
Partitions scanned,,91,2,2,2
Partitions scanned,,92,2,2,2
Partitions scanned,,93,2,2,2
Partitions scanned,,94,2,2,2
Partitions scanned,,95,1,1,1
Partitions scanned,,96,2,2,2
Partitions scanned,,97,2,2,2
Partitions scanned,,98,2,2,2
Partitions scanned,,99,1,1,1
Partitions scanned,,100,2,2,2
Partitions scanned,,101,1,1,1
Partitions scanned,,102,2,2,2
Partitions scanned,,103,2,2,2
Partitions scanned,,104,2,2,2
Partitions scanned,,105,2,2,2
Partitions scanned,,106,2,2,2
Partitions scanned,,107,2,2,2
Partitions scanned,,108,2,2,2
Partitions scanned,,109,1,1,1
Partitions scanned,,110,2,2,2
Partitions scanned,,111,1,1,1
Partitions scanned,,112,2,2,2
Partitions scanned,,113,2,2,2
Partitions scanned,,114,1,1,1
Partitions scanned,,115,1,1,1
Partitions scanned,,116,2,2,2
Partitions scanned,,117,2,2,2
Partitions scanned,,118,2,2,2
Partitions scanned,,119,2,2,2
Partitions scanned,,120,1,1,1
Partitions scanned,,121,2,2,2
Partitions scanned,,122,2,2,2
Partitions scanned,,123,2,2,2
Partitions scanned,,124,1,1,1
Partitions scanned,,125,2,2,2
Partitions scanned,,126,2,2,2
Partitions scanned,,127,2,2,2
Partitions scanned,,128,2,2,2
Partitions scanned,,129,2,2,2
Partitions scanned,,130,2,2,2
Partitions scanned,,131,1,1,1
Partitions scanned,,132,2,2,2
Partitions scanned,,133,2,2,2
Partitions scanned,,134,2,2,2
Partitions scanned,,135,2,2,2
Partitions scanned,,136,1,1,1
Partitions scanned,,137,1,1,1
Partitions scanned,,138,2,2,2
Partitions scanned,,139,2,2,2
Partitions scanned,,140,2,2,2
Partitions scanned,,141,2,2,2
Partitions scanned,,142,2,2,2
Partitions scanned,,143,2,2,2
Partitions scanned,,144,2,2,2
Partitions scanned,,145,2,2,2
Partitions scanned,,146,2,2,2
Partitions scanned,,147,2,2,2
Partitions scanned,,148,2,2,2
Partitions scanned,,149,2,2,2
Partitions scanned,,150,1,1,1
Partitions scanned,,151,2,2,2
Partitions scanned,,152,2,2,2
Partitions scanned,,153,2,2,2
Partitions scanned,,154,1,1,1
Partitions scanned,,155,2,2,2
Partitions scanned,,156,1,1,1
Partitions scanned,,157,1,1,1
Partitions scanned,,158,2,2,2
Partitions scanned,,159,1,1,1
Partitions scanned,,160,2,2,2
Partitions scanned,,161,2,2,2
Partitions scanned,,162,2,2,2
Partitions scanned,,163,2,2,2
Partitions scanned,,164,2,2,2
Partitions scanned,,165,2,2,2
Partitions scanned,,166,2,2,2
Partitions scanned,,167,2,2,2
Partitions scanned,,168,2,2,2
Partitions scanned,,169,2,2,2
Partitions scanned,,170,2,2,2
Partitions scanned,,171,1,1,1
Partitions scanned,,172,1,1,1
Partitions scanned,,173,1,1,1
Partitions scanned,,174,2,2,2
Partitions scanned,,175,1,1,1
Partitions scanned,,176,2,2,2
Partitions scanned,,177,2,2,2
Partitions scanned,,178,2,2,2
Partitions scanned,,179,1,1,1
Partitions scanned,,180,2,2,2
Partitions scanned,,181,1,1,1
Partitions scanned,,182,1,1,1
Partitions scanned,,183,2,2,2
Partitions scanned,,184,2,2,2
Partitions scanned,,185,1,1,1
Partitions scanned,,186,2,2,2
Partitions scanned,,187,2,2,2
Partitions scanned,,188,2,2,2
Partitions scanned,,189,1,1,1
Partitions scanned,,190,2,2,2
Partitions scanned,,191,2,2,2
Partitions scanned,,192,2,2,2
Partitions scanned,,193,2,2,2
Partitions scanned,,194,2,2,2
Partitions scanned,,195,1,1,1
Partitions scanned,,196,1,1,1
Partitions scanned,,197,2,2,2
