Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary
Ingestion,s,call_center,0.00921,0.02499,0.02567,0.06852
Ingestion,s,catalog_page,0.05375,0.06218,0.05722,0.08269
Ingestion,s,catalog_returns,16.2082,43.67357,17.70441,16.40745
Ingestion,s,catalog_sales,206.7812,471.05923,214.77342,204.71857
Ingestion,s,customer,7.8667,9.95162,7.7804,7.79903
Ingestion,s,customer_address,4.81615,5.73416,5.02881,4.85789
Ingestion,s,customer_demographics,3.44611,3.85865,3.5466,3.61936
Ingestion,s,date_dim,2.26775,2.37606,2.36262,2.46309
Ingestion,s,household_demographics,0.01131,0.00924,0.01052,0.01057
Ingestion,s,income_band,0.00397,0.00248,0.00403,0.00399
Ingestion,s,inventory,69.07728,106.12295,65.66146,63.19092
Ingestion,s,item,3.93845,4.12686,3.99882,3.94417
Ingestion,s,promotion,0.00936,0.00849,0.00865,0.02105
Ingestion,s,reason,0.00286,0.00264,0.00268,0.01174
Ingestion,s,ship_mode,0.00279,0.00274,0.00261,0.01292
Ingestion,s,store,0.00704,0.00705,0.00696,0.0145
Ingestion,s,store_returns,30.45172,67.63437,28.86588,27.59699
Ingestion,s,store_sales,280.24423,638.3192,297.54358,280.69708
Ingestion,s,time_dim,0.12994,0.17134,0.16323,0.14786
Ingestion,s,warehouse,0.00536,0.01116,0.01519,0.0131
Ingestion,s,web_page,0.05145,0.05134,0.05754,0.06819
Ingestion,s,web_returns,13.93504,26.91561,15.30289,15.12007
Ingestion,s,web_sales,99.83198,241.07625,108.24351,102.91399
Ingestion,s,web_site,0.0055,0.01391,0.00471,0.00548
