Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,4159,4159,1,1
Partitions scanned,,2,1597,1597,1596,4
Partitions scanned,,3,71259,71259,24,39
Partitions scanned,,4,45775,45775,0,0
Partitions scanned,,5,71280,71280,71280,10
Partitions scanned,,6,36016,36016,1,4
Partitions scanned,,7,37193,37193,31,31
Partitions scanned,,8,71619,71619,166,166
Partitions scanned,,9,35611,35611,35611,5084
Partitions scanned,,10,54145,54145,512,454
Partitions scanned,,11,45772,45772,0,0
Partitions scanned,,12,19245,19245,19245,5
Partitions scanned,,13,35982,35982,17,17
Partitions scanned,,14,109797,109797,109764,7
Partitions scanned,,15,140,140,130,130
Partitions scanned,,16,9511,9511,11151,54
Partitions scanned,,17,102289,102289,4,4
Partitions scanned,,18,932,932,131,130
Partitions scanned,,19,71659,71659,12,12
Partitions scanned,,20,19303,19303,19303,5
Partitions scanned,,21,127308,127308,127308,14
Partitions scanned,,22,39341,39341,39341,5
Partitions scanned,,23,82689,82689,71225,5
Partitions scanned,,24,116088,116088,116088,81419
Partitions scanned,,25,130181,130181,11,4
Partitions scanned,,26,868,868,31,31
Partitions scanned,,27,72795,72795,33,33
Partitions scanned,,28,35610,35610,35610,5083
Partitions scanned,,29,130305,130305,17,8
Partitions scanned,,30,1715,1715,29,49
Partitions scanned,,31,46888,46888,46888,4
Partitions scanned,,32,19333,19333,19311,29
Partitions scanned,,33,111646,111646,30,45
Partitions scanned,,34,107100,107100,107100,50
Partitions scanned,,35,47321,47321,512,512
Partitions scanned,,36,71243,71243,2,2
Partitions scanned,,37,62783,62783,62783,152
Partitions scanned,,38,46801,46801,46801,4
Partitions scanned,,39,118388,118388,2,2
Partitions scanned,,40,19333,19333,19333,13
Partitions scanned,,41,60,60,60,16
Partitions scanned,,42,71258,71258,11,11
Partitions scanned,,43,71207,71207,2,1
Partitions scanned,,44,35606,35606,5083,5081
Partitions scanned,,45,10029,10029,2,2
Partitions scanned,,46,107439,107439,107439,6
Partitions scanned,,47,71227,71227,71227,6
Partitions scanned,,48,35983,35983,17,17
Partitions scanned,,49,190851,190851,9,9
Partitions scanned,,50,75236,75236,7,6
Partitions scanned,,51,45235,45235,45235,4
Partitions scanned,,52,71258,71258,11,11
Partitions scanned,,53,71228,71228,71228,7
Partitions scanned,,54,56185,56185,25,24
Partitions scanned,,55,71259,71259,11,11
Partitions scanned,,56,111644,111644,51,29
Partitions scanned,,57,19303,19303,19303,5
Partitions scanned,,58,109762,109762,4,7
Partitions scanned,,59,12,12,12,8
Partitions scanned,,60,111677,111677,59,37
Partitions scanned,,61,107373,107373,12,11
Partitions scanned,,62,14499,14499,14499,4
Partitions scanned,,63,71228,71228,71228,7
Partitions scanned,,64,149718,149718,42918,34018
Partitions scanned,,65,35617,35617,35617,5
Partitions scanned,,66,38215,38215,12,11
Partitions scanned,,67,71227,71227,71227,6
Partitions scanned,,68,107049,107049,107049,283
Partitions scanned,,69,47706,47706,512,511
Partitions scanned,,70,35618,35618,35618,5
Partitions scanned,,71,136976,136976,13,13
Partitions scanned,,72,167935,167935,16,67
Partitions scanned,,73,107107,107107,107107,48
Partitions scanned,,74,45772,45772,0,0
Partitions scanned,,75,120992,120992,50,71
Partitions scanned,,76,66125,66125,66125,8
Partitions scanned,,77,52885,52885,52885,5
Partitions scanned,,78,45233,45233,0,0
Partitions scanned,,79,71507,71507,6,6
Partitions scanned,,80,113034,113034,113034,20
Partitions scanned,,81,2331,2331,29,49
Partitions scanned,,82,109187,109187,109187,2628
Partitions scanned,,83,12051,12051,12051,7
Partitions scanned,,84,4635,4635,4626,757
Partitions scanned,,85,12302,12302,16,16
Partitions scanned,,86,19245,19245,19245,5
Partitions scanned,,87,46801,46801,46801,4
Partitions scanned,,88,71214,71214,2,2
Partitions scanned,,89,71223,71223,2,3
Partitions scanned,,90,28870,28870,28870,43
Partitions scanned,,91,2731,2731,3,3
Partitions scanned,,92,19275,19275,19253,29
Partitions scanned,,93,1,1,1,1
Partitions scanned,,94,31741,31741,39372,54
Partitions scanned,,95,30825,30825,38501,55
Partitions scanned,,96,106800,106800,4,4
Partitions scanned,,97,35617,35617,35617,4
Partitions scanned,,98,71226,71226,71226,5
Partitions scanned,,99,3281,3281,3281,4
