Name,Unit,Query,Min/max,Min/max clusters,Bloom filter
Time,s,1,0.03383,0.02775,0.02582
Time,s,1,0.02389,0.024,0.01985
Time,s,1,0.02217,0.02073,0.02017
Time,s,1,0.02182,0.0211,0.01655
Time,s,1,0.02165,0.01851,0.01698
Time,s,1,0.02247,0.01745,0.01616
Time,s,1,0.02078,0.01691,0.01713
Time,s,1,0.02261,0.0206,0.02032
Time,s,1,0.0233,0.0203,0.02078
Time,s,1,0.02496,0.01721,0.01733
Time,s,1,0.02399,0.01901,0.01709
Time,s,1,0.02183,0.01823,0.01768
Time,s,1,0.02286,0.01704,0.01799
Time,s,1,0.02169,0.01665,0.0169
Time,s,1,0.02218,0.01661,0.01701
Time,s,1,0.02124,0.01767,0.0182
Time,s,1,0.02193,0.01965,0.01987
Time,s,1,0.02298,0.01696,0.01914
Time,s,1,0.02189,0.01694,0.01729
Time,s,1,0.02223,0.01908,0.01662
Time,s,1,0.02385,0.0191,0.01772
Time,s,1,0.01897,0.01843,0.01684
Time,s,1,0.01697,0.01721,0.01643
Time,s,1,0.01804,0.0169,0.0175
Time,s,1,0.01694,0.01693,0.0165
Time,s,1,0.01754,0.01733,0.01734
Time,s,1,0.01683,0.01792,0.01653
Time,s,1,0.01774,0.01784,0.01755
Time,s,1,0.01835,0.01824,0.01606
Time,s,1,0.01758,0.01846,0.01696
Time,s,1,0.01762,0.02017,0.01707
Time,s,1,0.0175,0.01727,0.01595
Time,s,1,0.01641,0.01638,0.01705
Time,s,1,0.01664,0.01734,0.01724
Time,s,1,0.01688,0.01723,0.01778
Time,s,1,0.01743,0.01884,0.01691
Time,s,1,0.01771,0.01716,0.01582
Time,s,1,0.01787,0.01697,0.0174
Time,s,1,0.01703,0.01781,0.01726
Time,s,1,0.01715,0.01912,0.01809
Time,s,1,0.01653,0.01836,0.01765
Time,s,1,0.0176,0.01861,0.01738
Time,s,1,0.0174,0.02399,0.01638
Time,s,1,0.01725,0.01636,0.01655
Time,s,1,0.01726,0.01761,0.01708
Time,s,1,0.01699,0.01681,0.01795
Time,s,1,0.0176,0.01773,0.01672
Time,s,1,0.01776,0.01668,0.01667
Time,s,1,0.01692,0.01759,0.01651
Time,s,1,0.0171,0.01767,0.01687
Time,s,1,0.01714,0.01653,0.01707
Time,s,1,0.01659,0.01725,0.01712
Time,s,1,0.01619,0.0174,0.01697
Time,s,1,0.01782,0.01791,0.01708
Time,s,1,0.02113,0.0171,0.01668
Time,s,1,0.01676,0.0171,0.01761
Time,s,1,0.0186,0.01747,0.01776
Time,s,1,0.01771,0.0174,0.01601
Time,s,1,0.01779,0.01818,0.01746
Time,s,1,0.01756,0.01749,0.01802
Time,s,1,0.01668,0.01742,0.01626
Time,s,1,0.01679,0.01688,0.01655
Time,s,1,0.0166,0.01679,0.01672
Time,s,1,0.01727,0.01703,0.01704
Time,s,1,0.01666,0.01723,0.01798
Time,s,1,0.01806,0.01798,0.01635
