Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Rows scanned,millions,1,25.01183,25.01183,25.01183,25.01183
Rows scanned,millions,2,86.43627,86.43627,86.43627,86.43627
Rows scanned,millions,3,173.72224,173.72224,173.72224,39.29153
Rows scanned,millions,4,971.95026,971.95026,971.95026,399.85376
Rows scanned,millions,5,328.68994,328.59494,328.64847,124.03875
Rows scanned,millions,6,158.09048,158.09048,158.09048,20.8661
Rows scanned,millions,7,476.58502,476.58496,476.585,138.28813
Rows scanned,millions,8,174.91972,174.91972,174.91972,5.36443
Rows scanned,millions,9,1440.0497,1440.0497,1440.0497,1440.0497
Rows scanned,millions,10,180.10321,180.10321,180.1155,52.96032
Rows scanned,millions,11,599.1132,599.1132,599.1132,219.33208
Rows scanned,millions,12,36.94052,36.87071,36.87889,7.14618
Rows scanned,millions,13,589.0777,589.0777,589.0777,18.58925
Rows scanned,millions,14,736.2427,736.2427,736.2427,274.1934
Rows scanned,millions,15,6.03662,6.04071,6.03662,6.03662
Rows scanned,millions,16,25.34052,25.34052,25.34052,2.45399
Rows scanned,millions,17,385.96918,385.97122,385.97122,74.69161
Rows scanned,millions,18,74.39849,74.39849,74.39849,74.39849
Rows scanned,millions,19,290.97397,290.97217,290.97217,69.00415
Rows scanned,millions,20,2.08556,2.08556,2.08556,2.08556
Rows scanned,millions,21,34.28382,34.26791,34.30365,34.28084
Rows scanned,millions,22,160.14532,160.14532,160.14532,160.08798
Rows scanned,millions,23,583.7187,583.7187,583.7187,374.368
Rows scanned,millions,24,307.44525,307.44525,307.44525,11.64986
Rows scanned,millions,25,41.98012,41.98012,41.97602,40.75248
Rows scanned,millions,26,61.92642,61.92645,61.92645,61.92642
Rows scanned,millions,27,1429.58,1429.58,1429.58,64.26079
Rows scanned,millions,28,1382.4475,1382.4475,1382.4475,1382.4475
Rows scanned,millions,29,435.9258,435.9587,435.9618,122.83725
Rows scanned,millions,30,21.26951,21.26951,21.26951,21.26951
Rows scanned,millions,31,213.73418,213.73418,213.73418,51.95856
Rows scanned,millions,32,5.32146,5.2805,5.28459,5.2805
Rows scanned,millions,33,250.44943,250.35919,250.40836,23.23646
Rows scanned,millions,34,293.04807,293.04807,293.04807,0.13734
Rows scanned,millions,35,172.95413,172.96233,172.95413,67.53128
Rows scanned,millions,36,288.6264,288.6264,288.6264,4.20017
Rows scanned,millions,37,38.60006,38.56776,38.57483,38.59708
Rows scanned,millions,38,160.20544,160.20544,160.20544,60.88563
Rows scanned,millions,39,32.82913,32.82913,32.82913,32.79636
Rows scanned,millions,40,11.93027,11.90775,11.95419,11.94936
Rows scanned,millions,41,1.632,1.632,1.632,1.5337
Rows scanned,millions,42,172.96504,172.96504,172.96504,37.78065
Rows scanned,millions,43,172.82315,172.82315,172.82315,2.1674
Rows scanned,millions,44,626.81274,626.88556,626.86176,626.9093
Rows scanned,millions,45,56.81019,56.81019,56.81019,13.69942
Rows scanned,millions,46,466.87585,466.87585,466.87585,11.79092
Rows scanned,millions,47,231.03693,231.03693,231.03693,27.21996
Rows scanned,millions,48,416.24707,416.24707,416.24707,16.98767
Rows scanned,millions,49,463.18372,463.1732,463.19696,167.02322
Rows scanned,millions,50,311.04636,311.04837,311.0443,298.3467
Rows scanned,millions,51,213.97472,213.97472,213.97472,62.37357
Rows scanned,millions,52,172.96504,172.96913,172.96504,37.78065
Rows scanned,millions,53,231.45271,231.45271,231.45271,63.35287
Rows scanned,millions,54,215.61911,215.61911,215.61092,23.60349
Rows scanned,millions,55,172.98553,172.98143,172.98143,39.12594
Rows scanned,millions,56,243.72224,243.71944,243.74338,23.39359
Rows scanned,millions,57,28.61835,28.61016,28.61016,28.61835
Rows scanned,millions,58,173.68587,173.68587,173.68587,25.49258
Rows scanned,millions,59,172.88908,172.88908,172.88908,172.88908
Rows scanned,millions,60,285.4249,285.36487,285.4762,59.58747
Rows scanned,millions,61,637.00793,637.04083,637.07587,13.61783
Rows scanned,millions,62,69.91837,69.91837,69.91837,69.91837
Rows scanned,millions,63,231.45271,231.45271,231.45271,63.35287
Rows scanned,millions,64,830.2912,830.2912,830.2912,343.8789
Rows scanned,millions,65,461.87723,461.87723,461.87723,241.5452
Rows scanned,millions,66,137.24197,137.23761,137.24197,19.48389
Rows scanned,millions,67,289.0549,289.0549,289.0549,78.93009
