Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.02685,0.02479,0.02601,0.02247
Time,s,1,0.0216,0.02232,0.02436,0.02175
Time,s,1,0.02076,0.02141,0.02239,0.02212
Time,s,1,0.01993,0.02223,0.02361,0.03172
Time,s,1,0.02135,0.02138,0.02207,0.02087
Time,s,1,0.02151,0.02242,0.02106,0.02018
Time,s,1,0.0203,0.02209,0.0218,0.02054
Time,s,1,0.01976,0.02124,0.02114,0.02057
Time,s,1,0.0191,0.02201,0.02059,0.02118
Time,s,1,0.02004,0.02024,0.02167,0.02084
Time,s,1,0.01964,0.02032,0.02115,0.02089
Time,s,1,0.01935,0.02073,0.02074,0.02075
Time,s,1,0.01889,0.02002,0.02042,0.02014
Time,s,1,0.01969,0.02013,0.02046,0.02021
Time,s,1,0.01958,0.02009,0.02032,0.01975
Time,s,1,0.01984,0.01983,0.01954,0.01987
Time,s,1,0.01924,0.01953,0.02065,0.02035
Time,s,1,0.019,0.02004,0.01909,0.01989
Time,s,1,0.01958,0.01979,0.01988,0.02074
Time,s,1,0.01921,0.01995,0.02095,0.02016
Time,s,1,0.01969,0.01978,0.02043,0.01967
Time,s,1,0.01948,0.02029,0.02057,0.02047
Time,s,1,0.01973,0.02008,0.02018,0.02096
Time,s,1,0.01964,0.01963,0.02112,0.02016
Time,s,1,0.02147,0.02017,0.02179,0.01997
Time,s,1,0.01925,0.02151,0.02086,0.0206
Time,s,1,0.01952,0.01994,0.02017,0.01986
Time,s,1,0.02093,0.02003,0.02096,0.02981
Time,s,1,0.01951,0.01955,0.02023,0.02264
Time,s,1,0.02047,0.02053,0.0208,0.01966
Time,s,1,0.02033,0.01976,0.0205,0.0216
Time,s,1,0.01945,0.02019,0.02068,0.02023
Time,s,1,0.02059,0.0191,0.02036,0.02006
Time,s,1,0.02012,0.01957,0.02077,0.0199
Time,s,1,0.01997,0.02,0.02021,0.0201
Time,s,1,0.02029,0.01977,0.02041,0.01987
Time,s,1,0.0196,0.01999,0.02033,0.02102
Time,s,1,0.01891,0.02065,0.01978,0.02067
Time,s,1,0.01949,0.01981,0.02022,0.02063
Time,s,1,0.01929,0.01906,0.01998,0.02047
Time,s,1,0.02032,0.02073,0.02054,0.01933
Time,s,1,0.01931,0.02034,0.02034,0.01954
Time,s,1,0.01941,0.01963,0.02079,0.02009
Time,s,1,0.01974,0.01953,0.02087,0.02251
Time,s,1,0.01896,0.01888,0.0198,0.02043
Time,s,1,0.02027,0.01934,0.02052,0.02004
Time,s,1,0.02023,0.02011,0.01978,0.02029
Time,s,1,0.01933,0.01968,0.01987,0.01982
Time,s,1,0.01908,0.02019,0.0215,0.02053
Time,s,1,0.01938,0.01971,0.02006,0.02008
Time,s,1,0.01801,0.02156,0.01996,0.0195
Time,s,1,0.01955,0.02066,0.01938,0.01972
Time,s,1,0.01887,0.02032,0.02009,0.01968
Time,s,1,0.01975,0.02044,0.02009,0.02023
Time,s,1,0.01903,0.01953,0.02081,0.01942
Time,s,1,0.01874,0.02029,0.02034,0.02017
Time,s,1,0.01938,0.01981,0.01987,0.01996
Time,s,1,0.01981,0.02092,0.02052,0.02086
Time,s,1,0.02119,0.02104,0.02029,0.02052
Time,s,1,0.02066,0.02086,0.02279,0.02011
Time,s,1,0.0196,0.01968,0.02038,0.01936
Time,s,1,0.02023,0.01981,0.01974,0.01995
Time,s,1,0.01872,0.02003,0.02024,0.0196
Time,s,1,0.01932,0.02007,0.02064,0.02004
Time,s,1,0.01948,0.02065,0.01992,0.02012
Time,s,1,0.01901,0.02013,0.02044,0.01983
Time,s,1,0.01896,0.01937,0.0206,0.02009
Time,s,1,0.01897,0.02051,0.01976,0.0208
Time,s,1,0.01922,0.01938,0.01977,0.02011
Time,s,1,0.01937,0.01997,0.01968,0.0201
Time,s,1,0.01968,0.02012,0.01958,0.02076
Time,s,1,0.01882,0.01989,0.02023,0.02125
Time,s,1,0.01814,0.02009,0.02027,0.02104
Time,s,1,0.02008,0.01969,0.01982,0.01966
Time,s,1,0.02011,0.01966,0.02043,0.01939
Time,s,1,0.01954,0.0204,0.02058,0.0207
Time,s,1,0.01824,0.01983,0.0198,0.02063
Time,s,1,0.02283,0.01945,0.02138,0.0205
Time,s,1,0.01963,0.02059,0.01969,0.0201
Time,s,1,0.02,0.02004,0.02016,0.02068
Time,s,1,0.01924,0.01961,0.01958,0.01956
Time,s,1,0.02034,0.01921,0.01988,0.01992
Time,s,1,0.01892,0.02029,0.01927,0.01977
Time,s,1,0.01979,0.02173,0.02017,0.02095
Time,s,1,0.01878,0.02082,0.02006,0.02064
Time,s,1,0.0186,0.01956,0.01928,0.02087
Time,s,1,0.01975,0.01982,0.02,0.01953
Time,s,1,0.02008,0.02034,0.02053,0.02014
Time,s,1,0.01992,0.02013,0.01949,0.02197
Time,s,1,0.01943,0.02018,0.02021,0.01989
Time,s,1,0.01895,0.01988,0.02032,0.01968
Time,s,1,0.01918,0.02029,0.01945,0.01976
Time,s,1,0.02028,0.02425,0.02021,0.01991
Time,s,1,0.02016,0.02103,0.02111,0.02014
Time,s,1,0.01988,0.02042,0.02008,0.01956
Time,s,1,0.01965,0.02035,0.02068,0.02177
Time,s,1,0.02055,0.02122,0.02151,0.01943
Time,s,1,0.01935,0.02058,0.0199,0.01984
Time,s,1,0.0198,0.01981,0.02028,0.02255
Time,s,1,0.02014,0.01971,0.02443,0.02062
Time,s,2,0.07192,0.07531,0.08115,0.07275
Time,s,2,0.07157,0.07519,0.0744,0.07295
Time,s,2,0.07078,0.07595,0.07559,0.07367
Time,s,2,0.07166,0.08315,0.07638,0.07322
Time,s,2,0.07354,0.07901,0.07533,0.07312
Time,s,2,0.07204,0.07558,0.07511,0.07323
Time,s,2,0.07138,0.07534,0.07475,0.07501
Time,s,2,0.07185,0.07538,0.07613,0.07346
Time,s,2,0.07257,0.0747,0.07452,0.0756
Time,s,2,0.07133,0.07462,0.07556,0.07364
Time,s,2,0.0716,0.07515,0.07615,0.07412
Time,s,2,0.07155,0.07536,0.07562,0.07404
Time,s,2,0.07142,0.07571,0.07547,0.07346
