Name,Unit,Query,Min/max,Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,73247,73247,73247,73247,73247,73247,73247
Partitions scanned,,2,12333,12333,12333,12333,12333,12333,12333
Partitions scanned,,3,93390,93390,93390,93390,93390,93390,93390
Partitions scanned,,4,91558,91558,91558,91558,91558,91558,91558
Partitions scanned,,5,93515,93515,93515,93515,93515,93515,93515
Partitions scanned,,6,73247,73247,73247,73247,73247,73247,73247
Partitions scanned,,7,93514,93514,93514,93514,93514,93514,93514
Partitions scanned,,8,95957,95957,95957,95957,95957,95957,95957
Partitions scanned,,9,103890,103890,103890,103890,103890,103890,103890
Partitions scanned,,10,93391,93391,93391,93391,93391,93391,93391
Partitions scanned,,11,9890,9890,9890,9890,9890,9890,9890
Partitions scanned,,12,91558,91558,91558,91558,91558,91558,91558
Partitions scanned,,13,20143,20143,20143,20143,20143,20143,20143
Partitions scanned,,14,75689,75689,75689,75689,75689,75689,75689
Partitions scanned,,15,73248,73248,73248,73248,73248,73248,73248
Partitions scanned,,16,12331,12331,12331,12331,12331,12331,12331
Partitions scanned,,17,75689,75689,75689,75689,75689,75689,75689
Partitions scanned,,18,93390,93390,93390,93390,93390,93390,93390
Partitions scanned,,19,75689,75689,75689,75689,75689,75689,75689
Partitions scanned,,20,85579,85579,85579,85579,85579,85579,85579
Partitions scanned,,21,91682,91682,91682,91682,91682,91682,91682
Partitions scanned,,22,20143,20143,20143,20143,20143,20143,20143
