Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.99544,1.00336,1.05151,1.02581
Time,s,1,0.99071,0.99442,1.02039,1.02029
Time,s,1,0.99483,0.99252,1.01051,1.04618
Time,s,1,1.01001,0.97754,1.02278,1.02357
Time,s,1,1.00973,0.98221,1.0357,1.00258
Time,s,1,1.01947,0.96876,1.0278,1.03814
Time,s,1,1.01013,1.00193,0.99256,1.01707
Time,s,1,0.99472,0.98437,1.00533,1.00913
Time,s,1,1.00532,0.98858,1.01883,1.0347
Time,s,1,0.99196,1.00113,1.03064,1.0188
Time,s,1,1.02596,0.99196,1.02834,1.03199
Time,s,1,1.01428,0.976,1.0093,1.03113
Time,s,1,1.00279,0.99494,1.01338,1.00326
Time,s,1,1.0161,1.01419,1.01886,1.01838
Time,s,1,1.00585,0.99001,1.07433,1.01384
Time,s,1,0.9959,1.01649,1.03483,1.02769
Time,s,1,0.98803,0.99647,1.04063,1.02028
Time,s,1,1.00724,0.98853,1.02717,1.02666
Time,s,1,1.00399,1.00117,1.0214,1.00765
Time,s,1,1.0067,1.02185,1.0257,1.00816
Time,s,1,1.02793,0.99002,1.04357,0.99849
Time,s,1,1.0223,0.99511,1.08519,1.00197
Time,s,1,0.9968,0.97217,1.03673,1.01183
Time,s,1,1.00063,0.99461,1.01685,1.02135
Time,s,1,1.02936,1.00118,1.01418,1.02583
Time,s,1,1.02816,0.98515,1.02683,1.02417
Time,s,1,1.01904,1.00859,1.02483,1.02198
Time,s,1,1.0906,1.0221,1.0029,1.03342
Time,s,1,1.09173,1.00022,1.0089,1.04068
Time,s,1,1.01116,0.99839,1.02246,1.00167
Time,s,1,1.01216,1.01356,1.02043,1.04047
Time,s,1,1.00628,0.99416,1.02601,1.04031
Time,s,1,1.00719,0.98925,1.02964,1.03258
Time,s,1,1.01829,1.01406,1.02815,1.04299
Time,s,1,1.00002,1.01701,1.02062,1.04053
Time,s,1,1.01965,1.00321,1.067,1.00415
Time,s,1,1.02701,0.98425,1.01907,1.02214
Time,s,1,0.99921,0.98091,1.02777,1.01961
Time,s,1,1.02303,0.99416,1.03133,1.02119
Time,s,1,1.01493,0.98999,1.0075,1.00294
Time,s,1,1.02839,0.98074,1.04135,1.01499
Time,s,1,1.02032,1.01075,1.05202,1.01701
Time,s,1,1.00846,0.98754,1.02897,1.00741
Time,s,1,1.00613,0.99864,1.03984,1.05943
Time,s,1,1.01043,1.00178,1.03497,1.00042
Time,s,1,1.02655,0.99788,1.02305,1.04478
Time,s,1,0.9954,1.02197,1.0244,1.0262
Time,s,1,1.02042,1.0207,1.02786,1.0163
Time,s,1,1.01186,1.00128,1.01113,1.03559
Time,s,1,1.01959,0.98944,1.01126,1.04213
Time,s,1,1.01426,1.03622,1.01988,1.02775
Time,s,1,1.02559,0.9967,1.02882,1.01526
Time,s,1,1.02094,1.02742,1.03899,1.02766
Time,s,1,0.9806,1.02732,1.00857,1.01471
Time,s,1,0.99598,0.93922,1.03919,1.0318
Time,s,1,1.01914,0.94442,1.02662,1.0407
Time,s,1,0.99985,0.94667,1.03453,1.00859
Time,s,1,0.99588,0.95747,1.02417,1.04601
Time,s,1,1.00494,0.96628,1.05501,1.0284
Time,s,1,1.01682,0.9865,1.026,1.00868
Time,s,1,1.03069,0.98633,1.05502,1.03149
Time,s,1,1.01246,0.99706,1.02198,1.04017
Time,s,1,1.02409,0.98046,1.03698,1.04158
Time,s,1,1.03111,0.98281,1.055,1.02841
Time,s,1,1.03708,1.00506,1.0671,1.03466
Time,s,1,1.0444,1.0029,1.05282,1.05442
Time,s,1,1.01354,0.96876,1.05864,1.01274
Time,s,1,1.0538,1.01303,1.02777,1.02555
Time,s,1,1.02964,1.00066,1.03648,1.02772
Time,s,1,0.95784,0.95735,0.99705,0.97265
Time,s,1,0.94686,0.93679,0.95927,0.98486
Time,s,1,0.94149,0.92303,0.95277,0.96246
Time,s,1,0.95715,0.94309,0.9617,0.96386
Time,s,1,0.96847,0.9399,0.97294,0.99767
Time,s,1,0.95888,0.94037,0.98392,0.979
Time,s,1,0.99198,0.95789,1.00847,1.01081
Time,s,1,0.97623,0.98333,1.01767,0.98119
Time,s,1,0.97079,0.94983,1.01162,0.98827
Time,s,1,1.00219,0.97245,1.01885,1.02104
Time,s,1,1.01208,0.97276,0.98672,1.01766
Time,s,1,0.98865,0.99273,0.99397,1.02665
Time,s,1,0.99158,1.00649,0.98615,1.01925
Time,s,1,1.02721,0.98806,0.98379,1.02082
Time,s,1,1.00888,0.99531,1.00506,1.00447
Time,s,1,0.98821,0.97663,1.02923,1.02087
Time,s,1,1.01879,1.00864,1.005,1.02278
Time,s,1,0.97925,0.99416,0.99967,0.97868
Time,s,1,1.01499,0.96826,1.01957,1.00863
Time,s,1,1.00051,0.98686,1.00314,0.99575
Time,s,1,0.99631,0.96017,1.01939,1.00027
Time,s,1,0.98529,1.03495,1.01679,0.99748
Time,s,1,0.99944,0.96846,1.03837,1.00547
Time,s,1,0.99604,0.95335,1.09168,1.00911
Time,s,1,1.00753,0.97655,1.04105,1.01202
Time,s,1,0.99842,0.96427,1.01392,1.01381
Time,s,1,1.00524,0.97037,1.02755,1.02931
Time,s,1,1.02245,0.9702,1.03798,1.02499
Time,s,1,1.04002,0.99435,0.99965,1.01282
Time,s,1,1.0063,0.97572,1.03653,1.01637
Time,s,1,1.01024,0.99887,1.07743,1.01868
Time,s,2,0.16995,0.19156,0.25318,0.17596
Time,s,2,0.17116,0.22073,0.23014,0.16765
Time,s,2,0.12733,0.16558,0.16474,0.16753
Time,s,2,0.14277,0.13298,0.18954,0.13191
Time,s,2,0.15634,0.13827,0.16359,0.13583
Time,s,2,0.1325,0.14274,0.13911,0.15884
Time,s,2,0.13172,0.14545,0.1434,0.13529
Time,s,2,0.12929,0.13549,0.17809,0.13006
Time,s,2,0.12934,0.13645,0.18174,0.13501
Time,s,2,0.13144,0.14459,0.1602,0.12916
Time,s,2,0.12476,0.13628,0.17144,0.13642
Time,s,2,0.14303,0.1351,0.16654,0.13168
Time,s,2,0.13537,0.14024,0.19044,0.13183
Time,s,2,0.1351,0.13666,0.18844,0.13891
Time,s,2,0.12731,0.14597,0.17724,0.17231
Time,s,2,0.13582,0.16022,0.18542,0.13001
Time,s,2,0.16149,0.15031,0.15294,0.13329
Time,s,2,0.15711,0.1394,0.17792,0.13621
Time,s,2,0.13588,0.13408,0.19096,0.14446
Time,s,2,0.13362,0.16213,0.16072,0.14829
Time,s,2,0.13057,0.14217,0.18809,0.1271
Time,s,2,0.12932,0.13976,0.16012,0.13685
Time,s,2,0.12806,0.13315,0.18228,0.13286
Time,s,2,0.13289,0.13772,0.15395,0.13081
Time,s,2,0.13358,0.13959,0.17307,0.13828
Time,s,2,0.13266,0.14083,0.18315,0.14339
Time,s,2,0.13381,0.16671,0.15797,0.16408
Time,s,2,0.12475,0.13317,0.13756,0.13946
Time,s,2,0.14705,0.14286,0.1394,0.16517
Time,s,2,0.13109,0.1992,0.14748,0.15253
Time,s,2,0.12912,0.20812,0.13194,0.1632
Time,s,2,0.13392,0.17522,0.14064,0.17029
Time,s,2,0.15134,0.20352,0.13225,0.17708
Time,s,2,0.13638,0.1379,0.14067,0.18353
Time,s,2,0.13216,0.13163,0.14038,0.1313
Time,s,2,0.13145,0.13618,0.14676,0.12694
Time,s,2,0.13128,0.13663,0.16065,0.13272
Time,s,2,0.13376,0.14177,0.13592,0.13133
Time,s,2,0.12965,0.13285,0.13689,0.13542
Time,s,2,0.13159,0.1589,0.16399,0.15883
Time,s,2,0.13291,0.15177,0.17712,0.13249
Time,s,2,0.13794,0.13575,0.17253,0.12642
Time,s,2,0.1298,0.14361,0.13959,0.12908
Time,s,2,0.12938,0.16228,0.13802,0.16723
Time,s,2,0.12848,0.14455,0.13664,0.15474
Time,s,2,0.13314,0.13429,0.13985,0.15633
Time,s,2,0.1426,0.16631,0.16191,0.12979
Time,s,2,0.15673,0.15701,0.13753,0.14435
Time,s,2,0.13738,0.14977,0.1335,0.13847
Time,s,2,0.13332,0.15373,0.14224,0.1365
Time,s,2,0.13531,0.13771,0.15737,0.13308
Time,s,2,0.1312,0.13781,0.14378,0.13225
Time,s,2,0.12831,0.14076,0.13996,0.13297
Time,s,2,0.12961,0.15107,0.13924,0.13144
Time,s,2,0.14618,0.14755,0.14029,0.13262
Time,s,2,0.1311,0.14178,0.14122,0.13261
Time,s,2,0.14101,0.12965,0.14185,0.13402
Time,s,2,0.13165,0.16872,0.16146,0.14128
Time,s,2,0.13407,0.13472,0.14258,0.16201
Time,s,2,0.13337,0.1421,0.14049,0.15325
Time,s,2,0.13353,0.14346,0.14684,0.17167
Time,s,2,0.13318,0.16218,0.1367,0.14147
Time,s,2,0.13326,0.13998,0.14298,0.15062
Time,s,2,0.14977,0.13297,0.13833,0.13153
Time,s,2,0.15031,0.13709,0.16597,0.13283
Time,s,2,0.14608,0.13101,0.13648,0.13506
Time,s,2,0.15038,0.13676,0.13662,0.12999
Time,s,2,0.12943,0.14394,0.14268,0.13657
Time,s,2,0.1474,0.13967,0.14001,0.13145
Time,s,2,0.1368,0.14183,0.14082,0.13273
Time,s,2,0.13099,0.14275,0.14241,0.13433
Time,s,2,0.15303,0.14715,0.13924,0.13488
Time,s,2,0.12594,0.13607,0.13874,0.13506
Time,s,2,0.13387,0.14333,0.13949,0.1632
Time,s,2,0.12493,0.17317,0.1398,0.16941
Time,s,2,0.13428,0.16884,0.16253,0.14237
Time,s,2,0.12577,0.14831,0.16024,0.18449
Time,s,2,0.13744,0.13986,0.14855,0.17708
Time,s,2,0.13753,0.15141,0.1601,0.17973
Time,s,2,0.15633,0.1378,0.13917,0.19577
Time,s,2,0.12948,0.13975,0.13795,0.16516
Time,s,2,0.1328,0.14779,0.13893,0.16854
Time,s,2,0.13617,0.13341,0.13518,0.13265
Time,s,2,0.13438,0.14284,0.14,0.13472
Time,s,2,0.13706,0.13758,0.1401,0.13135
Time,s,2,0.13877,0.1404,0.14122,0.13791
Time,s,2,0.1339,0.14287,0.1338,0.1589
Time,s,2,0.13295,0.15165,0.13428,0.13442
Time,s,2,0.13959,0.14637,0.14372,0.13761
Time,s,2,0.15071,0.13707,0.14072,0.13356
Time,s,2,0.13972,0.14432,0.15398,0.13142
Time,s,2,0.13494,0.13429,0.13983,0.13381
Time,s,2,0.15502,0.1511,0.15434,0.13135
Time,s,2,0.12646,0.14581,0.15315,0.13441
Time,s,2,0.15477,0.13783,0.14205,0.13351
Time,s,2,0.12815,0.17105,0.13925,0.13134
Time,s,2,0.12957,0.15523,0.13403,0.13236
Time,s,2,0.12742,0.18168,0.14021,0.13375
Time,s,2,0.13183,0.15762,0.17587,0.15376
Time,s,2,0.12716,0.18991,0.15446,0.13322
Time,s,3,0.91299,1.01536,0.96852,0.95242
Time,s,3,0.89786,0.97797,1.01054,0.96187
Time,s,3,0.96065,0.93958,1.01805,0.90798
Time,s,3,0.8625,0.97841,0.96704,0.96846
Time,s,3,0.90955,1.00178,0.98118,0.92213
Time,s,3,0.88995,0.94538,0.92481,0.96629
