Name,Unit,Table_name,Min/max,Min/max clusters (100x),Bloom filter (100x),Dictionary (100x),Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,customer,3046784,69299688,26483584,5134124,649360488,237414784,5134124
Max Size,B,customer,208,8256,1808,596,80256,16208,596
Size,B,lineitem,243762688,1714542368,2118860288,489283280,12789337568,18994738688,489283280
Max Size,B,lineitem,208,8256,1808,1136,80256,16208,1136
Size,B,nation,0,0,0,0,0,0,0
Max Size,B,nation,0,0,0,0,0,0,0
Size,B,orders,34276320,449547120,297940320,55735640,4009011120,2670916320,55735640
Max Size,B,orders,208,8256,1808,528,80256,16208,528
Size,B,part,4569552,86665264,39719952,15075616,518234064,356073552,31772056
Max Size,B,part,208,8256,1808,2016,80256,16208,7120
Size,B,partsupp,10155600,153115200,88275600,13671000,1418659200,791355600,13671000
Max Size,B,partsupp,208,8256,1808,280,80256,16208,280
Size,B,region,0,0,0,0,0,0,0
Max Size,B,region,0,0,0,0,0,0,0
Size,B,supplier,177632,4537424,1544032,277672,43187024,13841632,277672
Max Size,B,supplier,208,8256,1808,596,80256,16208,596
