Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Time,s,1,0.09435,0.11032,0.09993,0.095
Time,s,1,0.09811,0.09696,0.09574,0.09507
Time,s,1,0.10538,0.09828,0.09633,0.09822
Time,s,1,0.09501,0.09866,0.0955,0.09593
Time,s,1,0.09584,0.09716,0.09618,0.09629
Time,s,1,0.09926,0.09777,0.0985,0.09712
Time,s,1,0.09638,0.10459,0.09736,0.09883
Time,s,1,0.09738,0.10032,0.09785,0.09747
Time,s,1,0.09846,0.09949,0.09756,0.10305
Time,s,1,0.09912,0.10029,0.10137,0.10663
Time,s,1,0.09864,0.09953,0.10211,0.10506
Time,s,1,0.09873,0.09979,0.10051,0.09862
Time,s,1,0.09821,0.09989,0.09964,0.101
Time,s,1,0.09987,0.10076,0.09917,0.09857
Time,s,1,0.10325,0.10423,0.09906,0.09917
Time,s,1,0.0986,0.10038,0.10054,0.10156
Time,s,1,0.09858,0.10015,0.10231,0.10076
Time,s,1,0.09947,0.10152,0.10013,0.09946
Time,s,1,0.10006,0.10167,0.10004,0.09926
Time,s,1,0.10043,0.10057,0.10008,0.09947
Time,s,1,0.09915,0.10072,0.10057,0.10031
Time,s,1,0.10304,0.10143,0.10155,0.09954
Time,s,1,0.09909,0.10723,0.10622,0.09947
Time,s,1,0.09951,0.10207,0.10422,0.10143
Time,s,1,0.1004,0.10221,0.10018,0.10003
Time,s,1,0.09975,0.10106,0.10714,0.10092
Time,s,1,0.09964,0.10124,0.10137,0.10517
Time,s,1,0.10143,0.10161,0.1004,0.10079
Time,s,1,0.10363,0.10088,0.10022,0.09954
Time,s,1,0.1135,0.10387,0.10016,0.10017
Time,s,1,0.10756,0.10115,0.10004,0.10271
Time,s,1,0.10051,0.10101,0.10424,0.10246
Time,s,1,0.10065,0.10105,0.10241,0.10018
Time,s,1,0.1001,0.1011,0.10292,0.10113
Time,s,1,0.10054,0.10315,0.10058,0.10121
Time,s,1,0.09978,0.10111,0.10517,0.09979
Time,s,1,0.10247,0.10101,0.10276,0.09972
Time,s,1,0.10014,0.10793,0.10076,0.10155
Time,s,1,0.10061,0.10159,0.10071,0.10041
Time,s,1,0.10112,0.10156,0.10067,0.1006
Time,s,1,0.1015,0.10135,0.10624,0.10063
Time,s,1,0.10007,0.10096,0.1027,0.10749
Time,s,1,0.10674,0.10102,0.10054,0.1007
Time,s,1,0.09999,0.10135,0.10131,0.10135
Time,s,1,0.10237,0.10334,0.10071,0.10054
Time,s,1,0.10298,0.10368,0.10075,0.10065
Time,s,1,0.10009,0.10125,0.10359,0.10288
Time,s,1,0.1001,0.10153,0.10078,0.10158
Time,s,1,0.10024,0.10268,0.10118,0.10067
Time,s,1,0.10117,0.10573,0.10023,0.10075
Time,s,1,0.10163,0.10172,0.10091,0.10091
Time,s,1,0.1021,0.10141,0.1017,0.10206
Time,s,1,0.10458,0.10367,0.10046,0.10075
Time,s,1,0.09911,0.10525,0.10056,0.10127
Time,s,1,0.09994,0.10381,0.10148,0.10294
Time,s,1,0.09947,0.10167,0.1028,0.10053
Time,s,1,0.09987,0.10161,0.10538,0.10102
Time,s,1,0.09976,0.10212,0.10063,0.10674
Time,s,1,0.09946,0.10396,0.10033,0.10087
Time,s,1,0.10032,0.10153,0.10025,0.10004
Time,s,1,0.10942,0.10423,0.10014,0.10019
Time,s,1,0.10034,0.10207,0.10056,0.10175
Time,s,1,0.10054,0.10097,0.10338,0.10167
Time,s,1,0.10043,0.10164,0.10044,0.10023
Time,s,1,0.10016,0.10166,0.1014,0.10016
Time,s,1,0.10071,0.10333,0.10011,0.10007
Time,s,1,0.09978,0.10153,0.1015,0.10054
Time,s,1,0.1031,0.10122,0.10074,0.1012
Time,s,1,0.09973,0.10894,0.10032,0.10083
Time,s,1,0.10024,0.10149,0.10053,0.10055
Time,s,1,0.1022,0.10148,0.10067,0.10013
Time,s,1,0.10357,0.10145,0.10716,0.10026
Time,s,1,0.10059,0.10114,0.10175,0.10929
Time,s,1,0.10096,0.10134,0.10061,0.10035
Time,s,1,0.10005,0.10162,0.10179,0.10147
Time,s,1,0.10246,0.10573,0.10089,0.10035
Time,s,1,0.10519,0.10168,0.1009,0.10401
Time,s,1,0.10068,0.10161,0.10453,0.11094
Time,s,1,0.10094,0.10196,0.10066,0.10471
Time,s,1,0.10031,0.10203,0.10121,0.10119
