Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Partitions scanned,,1,122071,114102,57783,122071,75748,7670,122071
Partitions scanned,,2,122071,113978,57724,122071,75608,7390,122071
Partitions scanned,,3,122071,114186,57285,122071,75735,7413,122071
Partitions scanned,,4,122071,114007,57791,122071,75688,7452,122071
Partitions scanned,,5,122071,114051,57701,122071,75984,7434,122071
Partitions scanned,,6,122071,113977,57942,122071,75821,7466,122071
Partitions scanned,,7,122071,114011,57877,122071,75687,7612,122071
Partitions scanned,,8,122071,114125,57521,122071,75910,7492,122071
Partitions scanned,,9,122071,113945,57709,122071,75677,7501,122071
Partitions scanned,,10,122071,114066,57904,122071,75904,7510,122071
Partitions scanned,,11,122071,114062,57553,122071,76148,7682,122071
Partitions scanned,,12,122071,114021,57568,122071,75663,7613,122071
Partitions scanned,,13,122071,114222,57776,122071,76046,7458,122071
Partitions scanned,,14,122071,114145,57655,122071,75951,7687,122071
Partitions scanned,,15,122071,114055,57534,122071,75696,7638,122071
Partitions scanned,,16,122071,114086,57965,122071,76052,7585,122071
Partitions scanned,,17,122071,114029,57746,122071,75809,7770,122071
Partitions scanned,,18,122071,114033,57716,122071,75661,7644,122071
Partitions scanned,,19,122071,114099,57712,122071,75812,7567,122071
Partitions scanned,,20,122071,114006,57434,122071,75900,7525,122071
Partitions scanned,,21,122071,114008,57612,122071,75678,7624,122071
Partitions scanned,,22,122071,114122,57489,122071,76259,7698,122071
Partitions scanned,,23,122071,114120,57740,122071,75597,7824,122071
Partitions scanned,,24,122071,114159,57707,122071,75951,7506,122071
Partitions scanned,,25,122071,114139,57758,122071,75822,7430,122071
Partitions scanned,,26,122071,114115,57715,122071,75982,7406,122071
Partitions scanned,,27,122071,114209,57560,122071,75926,7548,122071
Partitions scanned,,28,122071,114152,57744,122071,75662,7508,122071
Partitions scanned,,29,122071,114158,57546,122071,75732,7474,122071
Partitions scanned,,30,122071,114014,57827,122071,75799,7616,122071
