Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary
Partitions scanned,,1,122071,113864,64715,122071
Partitions scanned,,2,122071,114283,82674,122071
Partitions scanned,,3,122071,114898,89688,122071
Partitions scanned,,4,122071,114750,64717,122071
Partitions scanned,,5,122071,114367,52958,122071
Partitions scanned,,6,122071,114122,82679,122071
Partitions scanned,,7,122071,113985,74825,122071
Partitions scanned,,8,122071,114217,53106,122071
Partitions scanned,,9,122071,114184,74792,122071
Partitions scanned,,10,122071,113834,74558,122071
Partitions scanned,,11,122071,114350,64595,122071
Partitions scanned,,12,122071,114240,95363,122071
Partitions scanned,,13,122071,114100,52851,122071
Partitions scanned,,14,122071,114016,53036,122071
Partitions scanned,,15,122071,114207,65360,122071
Partitions scanned,,16,122071,113912,82881,122071
Partitions scanned,,17,122071,113795,52901,122071
Partitions scanned,,18,122071,113732,64990,122071
Partitions scanned,,19,122071,114460,38791,122071
Partitions scanned,,20,122071,113738,99886,122071
Partitions scanned,,21,122071,114336,52800,122071
Partitions scanned,,22,122071,113837,74684,122071
Partitions scanned,,23,122071,114014,52615,122071
Partitions scanned,,24,122071,114733,82931,122071
Partitions scanned,,25,122071,114823,83109,122071
Partitions scanned,,26,122071,114119,65171,122071
Partitions scanned,,27,122071,114081,99780,122071
Partitions scanned,,28,122071,114719,89858,122071
Partitions scanned,,29,122071,114373,52716,122071
Partitions scanned,,30,122071,114767,38387,122071
Partitions scanned,,31,122071,114290,74997,122071
Partitions scanned,,32,122071,114489,38405,122071
Partitions scanned,,33,122071,114319,52771,122071
Partitions scanned,,34,122071,114783,75200,122071
Partitions scanned,,35,122071,113987,53152,122071
Partitions scanned,,36,122071,114343,53273,122071
Partitions scanned,,37,122071,114718,38478,122071
Partitions scanned,,38,122071,114832,38384,122071
Partitions scanned,,39,122071,114746,53053,122071
Partitions scanned,,40,122071,113945,89640,122071
Partitions scanned,,41,122071,114074,64740,122071
Partitions scanned,,42,122071,113835,52964,122071
Partitions scanned,,43,122071,114190,95392,122071
Partitions scanned,,44,122071,114572,74749,122071
Partitions scanned,,45,122071,114944,53032,122071
Partitions scanned,,46,122071,114690,64685,122071
Partitions scanned,,47,122071,114711,21055,122071
Partitions scanned,,48,122071,113927,74562,122071
Partitions scanned,,49,122071,114164,74940,122071
Partitions scanned,,50,122071,114935,65122,122071
Partitions scanned,,51,122071,113926,52555,122071
Partitions scanned,,52,122071,114838,74767,122071
Partitions scanned,,53,122071,114100,64662,122071
Partitions scanned,,54,122071,113847,74852,122071
Partitions scanned,,55,122071,114552,65088,122071
Partitions scanned,,56,122071,113829,83087,122071
Partitions scanned,,57,122071,113699,53019,122071
Partitions scanned,,58,122071,114715,38551,122071
Partitions scanned,,59,122071,113744,74978,122071
Partitions scanned,,60,122071,114058,89516,122071
Partitions scanned,,61,122071,114726,64828,122071
Partitions scanned,,62,122071,113907,38559,122071
Partitions scanned,,63,122071,114508,20955,122071
Partitions scanned,,64,122071,114185,65007,122071
Partitions scanned,,65,122071,113865,89795,122071
Partitions scanned,,66,122071,114205,83023,122071
Partitions scanned,,67,122071,113703,64987,122071
Partitions scanned,,68,122071,113963,65104,122071
Partitions scanned,,69,122071,113936,38761,122071
Partitions scanned,,70,122071,114795,38368,122071
Partitions scanned,,71,122071,113951,52827,122071
Partitions scanned,,72,122071,114625,64797,122071
Partitions scanned,,73,122071,114529,64877,122071
Partitions scanned,,74,122071,114372,64982,122071
Partitions scanned,,75,122071,114203,75068,122071
Partitions scanned,,76,122071,114147,65125,122071
Partitions scanned,,77,122071,113933,64922,122071
Partitions scanned,,78,122071,114769,74962,122071
Partitions scanned,,79,122071,115017,52910,122071
Partitions scanned,,80,122071,114640,38672,122071
Partitions scanned,,81,122071,114602,38633,122071
Partitions scanned,,82,122071,114671,52644,122071
Partitions scanned,,83,122071,114276,64844,122071
Partitions scanned,,84,122071,114289,65061,122071
Partitions scanned,,85,122071,114371,82952,122071
Partitions scanned,,86,122071,114691,65216,122071
Partitions scanned,,87,122071,113922,38431,122071
Partitions scanned,,88,122071,113958,103757,122071
Partitions scanned,,89,122071,114349,38270,122071
Partitions scanned,,90,122071,114971,75012,122071
Partitions scanned,,91,122071,113927,38586,122071
Partitions scanned,,92,122071,114286,52919,122071
Partitions scanned,,93,122071,114398,38316,122071
Partitions scanned,,94,122071,114127,52891,122071
Partitions scanned,,95,122071,114202,38195,122071
Partitions scanned,,96,122071,113886,75243,122071
Partitions scanned,,97,122071,114387,99849,122071
Partitions scanned,,98,122071,114127,52891,122071
Partitions scanned,,99,122071,114384,82630,122071
Partitions scanned,,100,122071,114346,74951,122071
Partitions scanned,,101,122071,114886,53026,122071
Partitions scanned,,102,122071,114859,38720,122071
Partitions scanned,,103,122071,114564,53105,122071
Partitions scanned,,104,122071,113843,90104,122071
Partitions scanned,,105,122071,114361,52973,122071
Partitions scanned,,106,122071,113966,82794,122071
Partitions scanned,,107,122071,113710,74916,122071
Partitions scanned,,108,122071,114481,65014,122071
Partitions scanned,,109,122071,114351,53288,122071
Partitions scanned,,110,122071,113717,89791,122071
Partitions scanned,,111,122071,114368,89739,122071
Partitions scanned,,112,122071,114050,53054,122071
Partitions scanned,,113,122071,114619,53352,122071
Partitions scanned,,114,122071,114150,52712,122071
Partitions scanned,,115,122071,114479,74581,122071
Partitions scanned,,116,122071,114712,52867,122071
Partitions scanned,,117,122071,114398,38316,122071
Partitions scanned,,118,122071,114003,64969,122071
Partitions scanned,,119,122071,114628,53057,122071
