Name,Unit,Query,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Time,s,1,0.32015,0.15433,0.15331,0.18177,0.18223,0.08455,0.302
Time,s,2,0.12527,0.12704,0.10771,0.12624,0.12263,0.07888,0.12882
Time,s,3,0.12541,0.12335,0.09396,0.1303,0.10623,0.08295,0.12638
Time,s,4,0.13164,0.12463,0.08983,0.12488,0.10474,0.08164,0.13971
Time,s,5,0.13173,0.1256,0.09015,0.13977,0.10774,0.07795,0.12579
Time,s,6,0.12681,0.13422,0.08927,0.13066,0.11214,0.08906,0.12677
Time,s,7,0.12619,0.12561,0.08496,0.13541,0.11053,0.07758,0.13974
Time,s,8,0.13382,0.13908,0.08755,0.14047,0.12073,0.07438,0.13509
Time,s,9,0.12667,0.13216,0.08443,0.12596,0.1078,0.07517,0.12934
Time,s,10,0.14832,0.13119,0.08393,0.12904,0.11351,0.076,0.13108
Time,s,11,0.13309,0.13799,0.08852,0.13235,0.10842,0.0758,0.12799
Time,s,12,0.14676,0.12777,0.08445,0.12913,0.11141,0.07418,0.1549
Time,s,13,0.1563,0.14221,0.08288,0.14029,0.11503,0.07122,0.13148
Time,s,14,0.15579,0.13533,0.08171,0.13671,0.12073,0.07157,0.13197
Time,s,15,0.16269,0.13521,0.08946,0.14291,0.11391,0.07059,0.15726
Time,s,16,0.15485,0.14325,0.09134,0.12811,0.1278,0.06933,0.21466
Time,s,17,0.13543,0.15059,0.09161,0.12619,0.12741,0.07491,0.21431
Time,s,18,0.13042,0.15102,0.09889,0.13251,0.11326,0.07915,0.23027
Time,s,19,0.13444,0.14831,0.09461,0.12803,0.10747,0.07657,0.19653
Time,s,20,0.12835,0.12833,0.08589,0.12847,0.11169,0.07686,0.15494
Time,s,21,0.12748,0.12746,0.08396,0.14356,0.10966,0.07179,0.15527
Time,s,22,0.13338,0.12807,0.08357,0.149,0.1135,0.06979,0.13051
Time,s,23,0.14047,0.13434,0.09633,0.16013,0.11346,0.07218,0.136
Time,s,24,0.1262,0.13478,0.08664,0.15077,0.10604,0.06687,0.13178
Time,s,25,0.14365,0.12751,0.08301,0.15212,0.1082,0.07156,0.15234
Time,s,26,0.13846,0.12803,0.0854,0.15911,0.11776,0.06588,0.14367
Time,s,27,0.13711,0.12782,0.08543,0.151,0.11762,0.07228,0.13952
Time,s,28,0.15597,0.1289,0.08612,0.15503,0.11793,0.07756,0.13968
Time,s,29,0.14941,0.14734,0.08894,0.15239,0.10869,0.0713,0.13487
Time,s,30,0.15992,0.13182,0.08454,0.14857,0.103,0.07,0.14522
Time,s,31,0.16027,0.13204,0.09723,0.14135,0.11099,0.0665,0.15259
