Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,30518,30518,30518
Partitions scanned,,2,30518,30518,30518
Partitions scanned,,3,30518,30518,30518
Partitions scanned,,4,30518,30518,30518
Partitions scanned,,5,30518,30518,30518
Partitions scanned,,6,30518,30518,30518
Partitions scanned,,7,30518,30518,30518
Partitions scanned,,8,30518,30518,30518
Partitions scanned,,9,30518,30518,30518
Partitions scanned,,10,30518,30518,30518
Partitions scanned,,11,30518,30518,30518
Partitions scanned,,12,30518,30518,30518
Partitions scanned,,13,30518,30518,30518
Partitions scanned,,14,30518,30518,30518
Partitions scanned,,15,30518,30518,30518
Partitions scanned,,16,30518,30518,30518
Partitions scanned,,17,30518,30518,30518
Partitions scanned,,18,30518,30518,30518
Partitions scanned,,19,30518,30518,30518
Partitions scanned,,20,30518,30518,30518
Partitions scanned,,21,30518,30518,30518
Partitions scanned,,22,30518,30518,30518
Partitions scanned,,23,30518,30518,30518
Partitions scanned,,24,30518,30518,30518
Partitions scanned,,25,30518,30518,30518
Partitions scanned,,26,30518,30518,30518
Partitions scanned,,27,30518,30518,30518
Partitions scanned,,28,30518,30518,30518
Partitions scanned,,29,30518,30518,30518
Partitions scanned,,30,30518,30518,30518
Partitions scanned,,31,30518,30518,30518
Partitions scanned,,32,30518,30518,30518
Partitions scanned,,33,30518,30518,30518
Partitions scanned,,34,30518,30518,30518
Partitions scanned,,35,30518,30518,30518
Partitions scanned,,36,30518,30518,30518
Partitions scanned,,37,30518,30518,30518
Partitions scanned,,38,30518,30518,30518
Partitions scanned,,39,30518,30518,30518
Partitions scanned,,40,30518,30518,30518
Partitions scanned,,41,30518,30518,30518
Partitions scanned,,42,30518,30518,30518
Partitions scanned,,43,30518,30518,30518
Partitions scanned,,44,30518,30518,30518
Partitions scanned,,45,30518,30518,30518
Partitions scanned,,46,30518,30518,30518
Partitions scanned,,47,30518,30518,30518
Partitions scanned,,48,30518,30518,30518
Partitions scanned,,49,30518,30518,30518
Partitions scanned,,50,30518,30518,30518
Partitions scanned,,51,30518,30518,30518
Partitions scanned,,52,30518,30518,30518
Partitions scanned,,53,30518,30518,30518
Partitions scanned,,54,30518,30518,30518
Partitions scanned,,55,30518,30518,30518
Partitions scanned,,56,30518,30518,30518
Partitions scanned,,57,30518,30518,30518
Partitions scanned,,58,30518,30518,30518
Partitions scanned,,59,30518,30518,30518
Partitions scanned,,60,30518,30518,30518
Partitions scanned,,61,30518,30518,30518
Partitions scanned,,62,30518,30518,30518
Partitions scanned,,63,30518,30518,30518
Partitions scanned,,64,30518,30518,30518
Partitions scanned,,65,30518,30518,30518
Partitions scanned,,66,30518,30518,30518
Partitions scanned,,67,30518,30518,30518
Partitions scanned,,68,30518,30518,30518
Partitions scanned,,69,30518,30518,30518
Partitions scanned,,70,30518,30518,30518
Partitions scanned,,71,30518,30518,30518
Partitions scanned,,72,30518,30518,30518
Partitions scanned,,73,30518,30518,30518
Partitions scanned,,74,30518,30518,30518
Partitions scanned,,75,30518,30518,30518
Partitions scanned,,76,30518,30518,30518
Partitions scanned,,77,30518,30518,30518
Partitions scanned,,78,30518,30518,30518
Partitions scanned,,79,30518,30518,30518
Partitions scanned,,80,30518,30518,30518
Partitions scanned,,81,30518,30518,30518
Partitions scanned,,82,30518,30518,30518
Partitions scanned,,83,30518,30518,30518
Partitions scanned,,84,30518,30518,30518
Partitions scanned,,85,30518,30518,30518
Partitions scanned,,86,30518,30518,30518
Partitions scanned,,87,30518,30518,30518
