Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,30518,29943,27049
Partitions scanned,,2,30518,29948,26916
Partitions scanned,,3,30518,29985,26961
Partitions scanned,,4,30518,29995,27046
Partitions scanned,,5,30518,30011,27033
Partitions scanned,,6,30518,29962,27066
Partitions scanned,,7,30518,29962,27018
Partitions scanned,,8,30518,29989,27056
Partitions scanned,,9,30518,29952,27011
Partitions scanned,,10,30518,29992,27066
Partitions scanned,,11,30518,29973,27156
Partitions scanned,,12,30518,29972,27033
Partitions scanned,,13,30518,29998,27133
Partitions scanned,,14,30518,30001,27045
Partitions scanned,,15,30518,29973,27035
Partitions scanned,,16,30518,29991,26982
Partitions scanned,,17,30518,29977,27000
Partitions scanned,,18,30518,29955,27082
Partitions scanned,,19,30518,29972,27037
Partitions scanned,,20,30518,29940,27141
Partitions scanned,,21,30518,29964,27119
Partitions scanned,,22,30518,29992,27053
Partitions scanned,,23,30518,29988,27145
Partitions scanned,,24,30518,29981,27018
Partitions scanned,,25,30518,29949,26938
Partitions scanned,,26,30518,29927,27100
Partitions scanned,,27,30518,29982,27095
Partitions scanned,,28,30518,29955,26989
Partitions scanned,,29,30518,29982,27083
Partitions scanned,,30,30518,29947,27091
Partitions scanned,,31,30518,29959,27102
Partitions scanned,,32,30518,29939,27018
Partitions scanned,,33,30518,29959,27012
Partitions scanned,,34,30518,29979,27071
Partitions scanned,,35,30518,29924,27053
Partitions scanned,,36,30518,29939,27074
Partitions scanned,,37,30518,29969,27034
Partitions scanned,,38,30518,29961,27044
Partitions scanned,,39,30518,29977,27066
Partitions scanned,,40,30518,29950,27030
Partitions scanned,,41,30518,29985,27128
Partitions scanned,,42,30518,29953,27028
Partitions scanned,,43,30518,29949,26998
Partitions scanned,,44,30518,29985,27083
Partitions scanned,,45,30518,29988,26972
Partitions scanned,,46,30518,29954,26998
Partitions scanned,,47,30518,29955,27038
Partitions scanned,,48,30518,29950,26981
Partitions scanned,,49,30518,29982,27017
