Name,Unit,Query,Min/max,Min/max clusters,Min/max clusters (1000x)
Partitions scanned,,1,30518,29871,26358
Partitions scanned,,2,30518,29875,26235
Partitions scanned,,3,30518,29907,26227
Partitions scanned,,4,30518,29931,26368
Partitions scanned,,5,30518,29934,26361
Partitions scanned,,6,30518,29883,26413
Partitions scanned,,7,30518,29890,26337
Partitions scanned,,8,30518,29910,26326
Partitions scanned,,9,30518,29890,26310
Partitions scanned,,10,30518,29923,26317
Partitions scanned,,11,30518,29916,26444
Partitions scanned,,12,30518,29915,26339
Partitions scanned,,13,30518,29924,26417
Partitions scanned,,14,30518,29938,26333
Partitions scanned,,15,30518,29895,26349
Partitions scanned,,16,30518,29920,26289
Partitions scanned,,17,30518,29910,26280
Partitions scanned,,18,30518,29896,26397
Partitions scanned,,19,30518,29906,26340
Partitions scanned,,20,30518,29859,26421
Partitions scanned,,21,30518,29884,26411
Partitions scanned,,22,30518,29925,26383
Partitions scanned,,23,30518,29906,26421
Partitions scanned,,24,30518,29914,26302
Partitions scanned,,25,30518,29893,26275
Partitions scanned,,26,30518,29869,26431
Partitions scanned,,27,30518,29923,26401
Partitions scanned,,28,30518,29883,26318
Partitions scanned,,29,30518,29916,26389
Partitions scanned,,30,30518,29879,26395
Partitions scanned,,31,30518,29880,26396
Partitions scanned,,32,30518,29870,26325
Partitions scanned,,33,30518,29893,26356
Partitions scanned,,34,30518,29895,26380
Partitions scanned,,35,30518,29865,26436
Partitions scanned,,36,30518,29891,26432
Partitions scanned,,37,30518,29897,26363
Partitions scanned,,38,30518,29895,26350
Partitions scanned,,39,30518,29921,26341
Partitions scanned,,40,30518,29884,26313
Partitions scanned,,41,30518,29913,26450
Partitions scanned,,42,30518,29884,26337
Partitions scanned,,43,30518,29886,26328
Partitions scanned,,44,30518,29927,26442
Partitions scanned,,45,30518,29920,26280
Partitions scanned,,46,30518,29899,26309
Partitions scanned,,47,30518,29877,26329
Partitions scanned,,48,30518,29864,26234
Partitions scanned,,49,30518,29913,26320
Partitions scanned,,50,30518,29897,26293
Partitions scanned,,51,30518,29870,26200
Partitions scanned,,52,30518,29900,26421
Partitions scanned,,53,30518,29894,26398
Partitions scanned,,54,30518,29891,26263
Partitions scanned,,55,30518,29915,26353
Partitions scanned,,56,30518,29869,26326
Partitions scanned,,57,30518,29914,26450
Partitions scanned,,58,30518,29887,26384
Partitions scanned,,59,30518,29878,26356
Partitions scanned,,60,30518,29859,26431
Partitions scanned,,61,30518,29898,26262
Partitions scanned,,62,30518,29914,26326
Partitions scanned,,63,30518,29894,26256
